id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8
'02081,St_mary_VC_parking,2023-07-05 14:09:42,2023-07-05 14:27:57,1095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02101,St_mary_VC_parking,2023-07-05 23:16:17,2023-07-05 23:22:02,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02321,St_mary_VC,2023-07-05 14:26:48,2023-07-05 14:54:27,1629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02331,St_mary_VC_parking,2023-07-05 19:50:29,2023-07-05 22:32:29,9720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02351,St_mary_VC_parking,2023-07-05 13:14:15,2023-07-05 13:16:15,120.0,St_mary_VC,2023-07-05 13:22:00,2023-07-05 13:26:16,256.0,,,,,,,,,,,,,,,,,,,,,,,,
'02451,St_mary_VC_parking,2023-07-05 12:02:38,2023-07-05 12:04:53,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02551,St_mary_VC_parking,2023-07-05 14:52:09,2023-07-06 02:10:09,40680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03031,St_mary_VC_parking,2023-07-06 11:43:11,2023-07-06 19:01:56,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03161,St_mary_VC_parking,2023-07-06 13:33:15,2023-07-06 15:05:36,5541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03191,St_mary_VC,2023-07-06 12:07:51,2023-07-06 12:16:21,420.0,St_mary_VC_parking,2023-07-06 12:17:36,2023-07-06 12:20:06,150.0,St_mary_VC,2023-07-06 12:25:51,2023-07-06 12:39:36,825.0,St_mary_VC_parking,2023-07-06 12:40:21,2023-07-06 12:53:36,795.0,,,,,,,,,,,,,,,,
'05131,St_mary_VC_parking,2023-07-10 09:18:20,2023-07-10 09:22:05,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05331,St_mary_VC_parking,2023-07-06 09:38:30,2023-07-06 09:48:30,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05341,St_mary_VC,2023-07-10 13:28:03,2023-07-10 13:34:22,379.0,St_mary_VC_parking,2023-07-10 13:34:36,2023-07-10 13:40:09,288.0,,,,,,,,,,,,,,,,,,,,,,,,
'05351,St_mary_VC_parking,2023-07-06 09:35:43,2023-07-06 09:42:43,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05451,St_mary_VC_parking,2023-07-05 12:02:38,2023-07-05 12:04:53,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05541,St_mary_VC_parking,2023-07-10 10:54:51,2023-07-10 11:11:42,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06021,St_mary_VC_parking,2023-07-11 13:45:01,2023-07-11 13:58:16,795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06061,St_mary_VC_parking,2023-07-11 12:40:21,2023-07-11 12:43:29,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06351,St_mary_VC_parking,2023-07-11 13:16:29,2023-07-11 13:42:59,1590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07231,St_mary_campground,2023-07-12 20:41:19,2023-07-13 07:22:19,38460.0,St_mary_VC_parking,2023-07-13 09:15:07,2023-07-13 10:23:22,4095.0,,,,,,,,,,,,,,,,,,,,,,,,
