Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Trail_of_Cedars',)","[""'02441"", ""'05091"", ""'06041"", ""'06061"", ""'09471""]",5,"[13455.0, 1529.0, 3195.0, 251.0, 120.0]","['2023-07-05 09:17:09', '2023-07-10 09:05:40', '2023-07-11 11:39:04', '2023-07-11 10:48:26', '2023-07-16 11:38:50']","['2023-07-05 13:01:24', '2023-07-10 11:32:10', '2023-07-11 16:29:04', '2023-07-11 10:52:37', '2023-07-16 11:40:50']","[224.25, 146.5, 290.0, 4.183333333333334, 2.0]"
"('Avalanche_parking',)","[""'02461"", ""'05131"", ""'05291"", ""'06111"", ""'06181"", ""'06421"", ""'06441"", ""'06451"", ""'06481"", ""'06511"", ""'09151"", ""'09291"", ""'09421"", ""'14411"", ""'16091"", ""'16221"", ""'16351"", ""'17431"", ""'20291"", ""'25431""]",20,"[4110.0, 120.0, 465.0, 135.0, 210.0, 375.0, 7980.0, 2775.0, 15601.0, 1530.0, 2655.0, 1876.0, 5784.0, 795.0, 360.0, 3120.0, 345.0, 11671.0, 2655.0, 225.0]","['2023-07-05 14:18:52', '2023-07-10 07:58:20', '2023-07-10 16:29:18', '2023-07-11 12:30:47', '2023-07-11 12:57:49', '2023-07-11 12:12:47', '2023-07-11 13:10:29', '2023-07-11 11:51:42', '2023-07-11 11:57:19', '2023-07-12 18:44:44', '2023-07-16 10:33:50', '2023-07-16 09:35:14', '2023-07-16 10:41:40', '2023-07-26 19:23:31', '2023-07-30 16:46:35', '2023-07-30 18:39:15', '2023-07-31 11:34:22', '2023-08-01 06:57:03', '2023-08-02 16:30:31', '2023-08-08 13:32:19']","['2023-07-05 15:27:22', '2023-07-10 08:00:20', '2023-07-10 16:37:03', '2023-07-11 12:33:02', '2023-07-11 13:01:19', '2023-07-11 12:19:02', '2023-07-11 16:58:44', '2023-07-11 12:44:27', '2023-07-11 16:38:34', '2023-07-12 20:04:29', '2023-07-16 11:19:20', '2023-07-16 10:12:14', '2023-07-16 12:18:04', '2023-07-26 20:19:01', '2023-07-30 16:52:35', '2023-07-30 19:31:15', '2023-07-31 11:40:07', '2023-08-01 10:25:33', '2023-08-02 17:14:46', '2023-08-08 13:36:04']","[68.5, 2.0, 7.75, 2.25, 3.5, 6.25, 228.25, 52.75, 281.25, 79.75, 45.5, 37.0, 96.4, 55.5, 6.0, 52.0, 5.75, 208.5, 44.25, 3.75]"
"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'02531""]",1,[7830.0],['2023-07-05 08:15:22'],['2023-07-05 13:53:52'],[338.5]
"('Avalanche_parking', 'Avalanche_trail', 'Trail_of_Cedars')","[""'02541""]",1,[15270.0],['2023-07-05 08:11:34'],['2023-07-05 12:38:34'],[267.0]
"('Avalanche_parking', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')","[""'05041"", ""'06271""]",2,"[9150.0, 10574.0]","['2023-07-10 07:57:06', '2023-07-11 10:56:41']","['2023-07-10 10:49:21', '2023-07-11 14:22:40']","[172.25, 205.98333333333332]"
"('Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'05141""]",1,[2085.0],['2023-07-10 12:15:41'],['2023-07-10 12:47:26'],[31.75]
"('Avalanche_parking', 'Trail_of_Cedars')","[""'05311""]",1,[2475.0],['2023-07-10 07:53:46'],['2023-07-10 12:02:46'],[249.0]
"('Trail_of_Cedars', 'Avalanche_parking', 'Trail_of_Cedars')","[""'05341""]",1,[2483.0],['2023-07-10 15:04:39'],['2023-07-10 15:48:47'],[44.13333333333333]
"('Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')","[""'06301""]",1,[14077.0],['2023-07-10 07:44:32'],['2023-07-10 11:42:25'],[237.88333333333333]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'12151"", ""'12161"", ""'19521""]",3,"[6630.0, 4124.0, 4650.0]","['2023-07-21 11:19:51', '2023-07-21 12:55:50', '2023-08-01 11:05:05']","['2023-07-21 16:34:36', '2023-07-21 14:03:05', '2023-08-01 14:19:05']","[314.75, 67.25, 194.0]"
"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'12521""]",1,[15827.0],['2023-07-21 09:43:34'],['2023-07-21 15:23:49'],[340.25]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'15101""]",1,[9795.0],['2023-07-27 10:50:09'],['2023-07-27 16:48:54'],[358.75]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking')","[""'15191""]",1,[9271.0],['2023-07-27 11:52:49'],['2023-07-27 18:02:04'],[369.25]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail')","[""'15421""]",1,[8490.0],['2023-07-27 12:30:18'],['2023-07-27 14:54:03'],[143.75]
"('Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'15441""]",1,[10845.0],['2023-07-27 12:21:35'],['2023-07-27 16:48:51'],[267.26666666666665]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Shuttle_Avalanche')","[""'21081""]",1,[9044.0],['2023-08-03 10:05:34'],['2023-08-03 12:41:49'],[156.25]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'21521""]",1,[20834.0],['2023-08-03 10:46:44'],['2023-08-03 15:52:36'],[305.8666666666667]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking')","[""'23101""]",1,[7994.0],['2023-08-06 09:54:18'],['2023-08-06 13:36:18'],[222.0]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'23171""]",1,[8685.0],['2023-08-06 10:15:00'],['2023-08-06 16:30:23'],[375.3833333333333]
"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'23201""]",1,[8429.0],['2023-08-06 09:08:50'],['2023-08-06 15:43:50'],[395.0]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_trail', 'Trail_of_Cedars', 'Shuttle_Avalanche')","[""'24341""]",1,[14250.0],['2023-08-07 10:40:33'],['2023-08-07 14:46:03'],[245.5]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'24441""]",1,[1770.0],['2023-08-07 09:51:36'],['2023-08-07 16:47:36'],[416.0]
