Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Siyeh_bend_parking',)","[""'14081"", ""'17221""]",2,"[150.0, 255.0]","['2023-07-26 17:06:21', '2023-07-31 18:10:46']","['2023-07-26 17:08:51', '2023-07-31 18:15:01']","[2.5, 4.25]"
"('Wild_goose_island', 'Oberlin_bend', 'Big_bend', 'Red_rock', 'Fish_creek')","[""'14171""]",1,[49215.0],['2023-07-26 17:47:03'],['2023-07-27 11:40:18'],[1073.25]
"('Siyeh_bend_trail', 'Big_bend')","[""'14191""]",1,[390.0],['2023-07-26 16:16:02'],['2023-07-26 17:09:32'],[53.5]
"('Wild_goose_island', 'Siyeh_bend_parking', 'Lunch_creek_parking', 'Oberlin_bend', 'Big_bend')","[""'14271""]",1,[1771.0],['2023-07-26 16:40:29'],['2023-07-26 18:51:59'],[131.5]
"('Siyeh_bend_parking', 'Siyeh_bend_trail', 'Siyeh_bend_parking')","[""'14431""]",1,[1245.0],['2023-07-26 16:42:07'],['2023-07-26 17:10:22'],[28.25]
"('Lunch_creek_parking', 'Big_bend')","[""'16011""]",1,[570.0],['2023-07-30 19:04:22'],['2023-07-30 19:31:52'],[27.5]
"('Siyeh_bend_parking', 'Big_bend')","[""'17381""]",1,[465.0],['2023-07-31 16:27:28'],['2023-07-31 17:05:13'],[37.75]
"('Lunch_creek_parking', 'Lunch_creek', 'Lunch_creek_parking', 'Big_bend')","[""'20041""]",1,[1785.0],['2023-08-02 12:39:51'],['2023-08-02 13:49:36'],[69.75]
"('Wild_goose_island', 'Oberlin_bend', 'Big_bend')","[""'20161""]",1,[1392.0],['2023-08-02 12:28:08'],['2023-08-02 16:54:05'],[265.95]
"('Red_eagle_trail',)","[""'22121""]",1,[2295.0],['2023-08-06 15:37:53'],['2023-08-06 16:16:38'],[38.75]
"('Shuttle_Siyeh_bend', 'Siyeh_bend_trail', 'Siyeh_pass_trail')","[""'22261""]",1,[18825.0],['2023-08-06 08:48:34'],['2023-08-06 14:10:49'],[322.25]
"('Siyeh_bend_trail', 'Siyeh_pass_trail')","[""'22461""]",1,[21900.0],['2023-08-06 09:45:32'],['2023-08-06 16:21:32'],[396.0]
"('Moose_country', 'Wild_goose_island')","[""'25331""]",1,[645.0],['2023-08-08 12:03:20'],['2023-08-08 13:39:50'],[96.5]
