Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Shuttle_Loop',)","[""'01061"", ""'01241"", ""'01341"", ""'01501"", ""'02021"", ""'02271"", ""'02291"", ""'04051"", ""'15161"", ""'15501"", ""'23291"", ""'24441"", ""'25281""]",13,"[225.0, 120.0, 135.0, 135.0, 2176.0, 1753.0, 1711.0, 1019.0, 1035.0, 165.0, 885.0, 600.0, 1935.0]","['2023-07-02 18:10:25', '2023-07-02 15:44:08', '2023-07-02 16:32:14', '2023-07-02 16:32:15', '2023-07-05 17:56:47', '2023-07-05 16:24:53', '2023-07-05 16:19:42', '2023-07-07 19:12:00', '2023-07-27 19:23:17', '2023-07-27 16:14:17', '2023-08-06 14:59:19', '2023-08-07 16:08:36', '2023-08-08 12:57:32']","['2023-07-02 18:14:10', '2023-07-02 15:46:08', '2023-07-02 16:34:29', '2023-07-02 16:34:30', '2023-07-05 18:38:19', '2023-07-05 16:59:51', '2023-07-05 16:48:13', '2023-07-07 19:33:15', '2023-07-27 19:47:47', '2023-07-27 16:17:02', '2023-08-06 15:14:04', '2023-08-07 16:18:36', '2023-08-08 13:29:47']","[3.75, 2.0, 2.25, 2.25, 41.53333333333333, 34.96666666666667, 28.516666666666666, 21.25, 24.5, 2.75, 14.75, 10.0, 32.25]"
"('Loop_parking',)","[""'02301"", ""'02331"", ""'02481"", ""'0355"", ""'04301"", ""'05091"", ""'05131"", ""'05141"", ""'05231"", ""'05291"", ""'05361"", ""'06041"", ""'06131"", ""'06181"", ""'06421"", ""'06441"", ""'07521"", ""'09501"", ""'10081"", ""'13231"", ""'14181"", ""'14441"", ""'16021"", ""'16411"", ""'16501"", ""'17381"", ""'17461"", ""'20081"", ""'20161"", ""'25321""]",30,"[390.0, 1050.0, 737.0, 315.0, 390.0, 495.0, 540.0, 930.0, 465.0, 2205.0, 420.0, 735.0, 435.0, 300.0, 1981.0, 585.0, 315.0, 1245.0, 405.0, 451.0, 585.0, 150.0, 345.0, 226.0, 810.0, 195.0, 420.0, 120.0, 450.0, 270.0]","['2023-07-05 09:08:10', '2023-07-05 09:28:44', '2023-07-05 09:52:09', '2023-07-12 18:54:39', '2023-07-05 09:08:10', '2023-07-10 11:52:25', '2023-07-10 08:13:05', '2023-07-10 13:33:11', '2023-07-10 09:47:52', '2023-07-10 08:18:48', '2023-07-10 07:53:31', '2023-07-11 12:10:49', '2023-07-11 12:26:30', '2023-07-11 13:40:04', '2023-07-11 12:43:16', '2023-07-11 17:17:14', '2023-07-12 17:43:28', '2023-07-16 10:06:47', '2023-07-18 18:52:23', '2023-07-24 19:04:26', '2023-07-26 19:20:00', '2023-07-26 18:28:22', '2023-07-30 17:04:25', '2023-07-30 17:57:28', '2023-07-30 18:27:24', '2023-07-31 17:21:28', '2023-07-31 17:56:17', '2023-08-02 14:22:22', '2023-08-02 17:07:20', '2023-08-08 14:41:24']","['2023-07-05 09:14:40', '2023-07-05 09:46:14', '2023-07-05 10:05:11', '2023-07-12 18:59:54', '2023-07-05 09:14:40', '2023-07-10 12:08:40', '2023-07-10 08:22:05', '2023-07-10 13:48:41', '2023-07-10 09:55:37', '2023-07-10 16:12:48', '2023-07-10 08:00:31', '2023-07-11 12:23:04', '2023-07-11 12:33:45', '2023-07-11 13:46:04', '2023-07-11 13:20:32', '2023-07-11 17:26:59', '2023-07-12 17:48:43', '2023-07-16 10:27:32', '2023-07-18 18:59:08', '2023-07-24 19:11:57', '2023-07-26 19:29:45', '2023-07-26 18:30:52', '2023-07-30 17:10:10', '2023-07-30 18:01:14', '2023-07-30 18:40:54', '2023-07-31 17:24:43', '2023-07-31 18:03:17', '2023-08-02 14:24:22', '2023-08-02 17:14:50', '2023-08-08 14:45:54']","[6.5, 17.5, 13.033333333333333, 5.25, 6.5, 16.25, 9.0, 15.5, 7.75, 474.0, 7.0, 12.25, 7.25, 6.0, 37.266666666666666, 9.75, 5.25, 20.75, 6.75, 7.516666666666667, 9.75, 2.5, 5.75, 3.7666666666666666, 13.5, 3.25, 7.0, 2.0, 7.5, 4.5]"
"('Loop_parking', 'Shuttle_Loop')","[""'02341"", ""'19041""]",2,"[3945.0, 330.0]","['2023-07-05 09:04:46', '2023-08-01 18:04:23']","['2023-07-05 10:12:46', '2023-08-01 18:10:23']","[68.0, 6.0]"
