Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Logan_pass_parking')","[""'02191""]",1,[15555.0],['2023-07-05 09:10:58'],['2023-07-05 13:50:58'],[280.0]
"('Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')","[""'02241"", ""'05361"", ""'06301"", ""'17341""]",4,"[6420.0, 7710.0, 10186.0, 8130.0]","['2023-07-05 14:03:39', '2023-07-10 08:24:31', '2023-07-10 15:09:55', '2023-07-31 15:58:29']","['2023-07-05 16:23:09', '2023-07-10 10:40:46', '2023-07-10 18:08:10', '2023-07-31 18:27:59']","[139.5, 136.25, 178.25, 149.5]"
"('Logan_pass_VC', 'Loop_highline_grinnell_glac')","[""'02271"", ""'02291"", ""'02341"", ""'14181"", ""'19161"", ""'21191"", ""'23291"", ""'24441""]",8,"[24751.0, 24856.0, 28110.0, 7620.0, 2565.0, 19650.0, 24765.0, 19590.0]","['2023-07-05 09:13:41', '2023-07-05 09:13:42', '2023-07-05 10:38:46', '2023-07-27 09:31:39', '2023-08-01 08:16:22', '2023-08-03 09:26:39', '2023-08-06 07:59:19', '2023-08-07 10:36:36']","['2023-07-05 16:22:08', '2023-07-05 16:15:43', '2023-07-05 18:31:46', '2023-07-27 11:46:54', '2023-08-01 09:09:37', '2023-08-03 15:02:09', '2023-08-06 14:56:34', '2023-08-07 16:06:06']","[428.45, 422.01666666666665, 473.0, 135.25, 53.25, 335.5, 417.25, 329.5]"
"('Shuttle_Logan_pass', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'03031""]",1,[5805.0],['2023-07-06 13:00:26'],['2023-07-06 14:51:26'],[111.0]
"('Logan_pass_VC', 'Hidden_lake_overlook')","[""'03101"", ""'24231""]",2,"[4665.0, 4795.0]","['2023-07-06 12:42:17', '2023-08-07 11:42:52']","['2023-07-06 14:03:02', '2023-08-07 13:04:47']","[80.75, 81.91666666666667]"
"('Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'03201"", ""'15441""]",2,"[5035.0, 1215.0]","['2023-07-06 16:26:09', '2023-07-27 15:34:27']","['2023-07-06 17:54:19', '2023-07-27 15:53:57']","[88.16666666666667, 19.5]"
"('Logan_pass_parking', 'Loop_highline_grinnell_glac')","[""'03311"", ""'19041""]",2,"[3825.0, 23745.0]","['2023-07-05 08:08:36', '2023-08-01 11:18:53']","['2023-07-05 09:26:06', '2023-08-01 18:03:08']","[77.5, 404.25]"
"('Logan_pass_VC', 'Hidden_lake_overlook', 'Shuttle_Logan_pass')","[""'03471"", ""'11411"", ""'22221""]",3,"[7110.0, 8850.0, 2940.0]","['2023-07-06 16:19:58', '2023-07-20 14:13:01', '2023-08-06 10:34:35']","['2023-07-06 18:21:28', '2023-07-20 16:46:16', '2023-08-06 13:21:50']","[121.5, 153.25, 167.25]"
"('Logan_pass_parking', 'Hidden_lake_overlook', 'Logan_pass_parking')","[""'0355""]",1,[2303.0],['2023-07-12 17:44:46'],['2023-07-12 18:30:24'],[45.63333333333333]
"('Shuttle_Logan_pass', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')","[""'03551""]",1,[11610.0],['2023-07-06 12:01:16'],['2023-07-06 16:14:16'],[253.0]
