Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')","[""'01031"", ""'05291"", ""'06171"", ""'11111"", ""'14151"", ""'14181"", ""'15011"", ""'1512"", ""'15161"", ""'15251"", ""'15291"", ""'15321"", ""'15421"", ""'15461"", ""'16471"", ""'17321"", ""'19011"", ""'19041"", ""'19241"", ""'21191"", ""'21231"", ""'21501"", ""'23011"", ""'23041"", ""'23341"", ""'24231"", ""'24321""]",27,"[540.0, 2010.0, 4257.0, 510.0, 615.0, 43545.0, 5795.0, 3385.0, 480.0, 495.0, 13413.0, 435.0, 420.0, 345.0, 8625.0, 406.0, 345.0, 405.0, 11331.0, 495.0, 10245.0, 390.0, 435.0, 510.0, 570.0, 420.0, 390.0]","['2023-07-02 11:50:55', '2023-07-10 16:46:33', '2023-07-11 14:27:53', '2023-07-20 11:29:21', '2023-07-26 17:28:50', '2023-07-26 19:58:30', '2023-07-27 10:01:56', '2023-07-27 10:33:56', '2023-07-27 10:00:02', '2023-07-27 10:00:12', '2023-07-27 12:46:04', '2023-07-27 12:15:15', '2023-07-27 12:15:18', '2023-07-27 14:46:06', '2023-07-30 17:19:54', '2023-08-01 09:40:17', '2023-08-01 10:56:20', '2023-08-01 09:40:23', '2023-08-01 13:33:11', '2023-08-03 08:26:39', '2023-08-03 08:59:05', '2023-08-03 12:54:57', '2023-08-06 15:02:03', '2023-08-06 08:57:27', '2023-08-06 16:41:08', '2023-08-07 09:59:51', '2023-08-07 10:00:04']","['2023-07-02 16:35:41', '2023-07-10 17:03:48', '2023-07-11 16:40:49', '2023-07-20 16:47:51', '2023-07-26 17:35:50', '2023-07-27 08:40:30', '2023-07-27 12:45:20', '2023-07-27 12:53:06', '2023-07-27 10:04:47', '2023-07-27 10:05:12', '2023-07-27 15:46:22', '2023-07-27 12:19:30', '2023-07-27 12:19:33', '2023-07-27 14:49:36', '2023-07-30 18:34:24', '2023-08-01 09:44:32', '2023-08-01 10:59:50', '2023-08-01 09:44:38', '2023-08-01 16:36:17', '2023-08-03 16:05:24', '2023-08-03 16:05:14', '2023-08-03 12:59:12', '2023-08-06 15:06:33', '2023-08-06 15:06:06', '2023-08-06 16:46:23', '2023-08-07 10:04:36', '2023-08-07 10:04:04']","[284.76666666666665, 17.25, 132.93333333333334, 318.5, 7.0, 762.0, 163.4, 139.16666666666666, 4.75, 5.0, 180.3, 4.25, 4.25, 3.5, 74.5, 4.25, 3.5, 4.25, 183.1, 458.75, 426.15, 4.25, 4.5, 368.65, 5.25, 4.75, 4.0]"
"('Lake_macdonald_lodge',)","[""'01061"", ""'01341"", ""'01501"", ""'02031"", ""'02091"", ""'02111"", ""'02181"", ""'02271"", ""'02291"", ""'02351"", ""'02431"", ""'02441"", ""'02471"", ""'02481"", ""'04051"", ""'05071"", ""'05121"", ""'05141"", ""'05171"", ""'05541"", ""'06021"", ""'06111"", ""'06151"", ""'06381"", ""'06441"", ""'06451"", ""'06531"", ""'06541"", ""'07361"", ""'09151"", ""'09341"", ""'09381"", ""'09421"", ""'09471"", ""'11421"", ""'1313"", ""'1321"", ""'13381"", ""'15441"", ""'16221"", ""'16261"", ""'16341"", ""'16521"", ""'17531"", ""'17541"", ""'18131"", ""'19021"", ""'19161"", ""'19311"", ""'19521"", ""'19541"", ""'20041"", ""'20071"", ""'20161"", ""'20181"", ""'21141"", ""'21341"", ""'21351"", ""'21521"", ""'23201"", ""'23291"", ""'23441"", ""'23521"", ""'24171"", ""'25071"", ""'25161"", ""'25201"", ""'25241"", ""'25291"", ""'25311"", ""'25321"", ""'25421"", ""'25431"", ""'27341""]",74,"[135.0, 435.0, 465.0, 6137.0, 1725.0, 1755.0, 1204.0, 165.0, 180.0, 4413.0, 210.0, 3960.0, 2430.0, 1305.0, 165.0, 8205.0, 3863.0, 1819.0, 1275.0, 237.0, 210.0, 135.0, 345.0, 180.0, 3945.0, 2115.0, 3465.0, 5559.0, 50928.0, 5985.0, 165.0, 7830.0, 36315.0, 120.0, 750.0, 6702.0, 314.0, 2078.0, 180.0, 2130.0, 2325.0, 2070.0, 1035.0, 420.0, 495.0, 150.0, 330.0, 120.0, 120.0, 135.0, 180.0, 210.0, 5970.0, 540.0, 12045.0, 150.0, 345.0, 120.0, 210.0, 300.0, 180.0, 195.0, 5260.0, 315.0, 5940.0, 3583.0, 120.0, 1035.0, 390.0, 7886.0, 4338.0, 555.0, 2985.0, 750.0]","['2023-07-02 11:21:43', '2023-07-02 12:05:19', '2023-07-02 12:46:00', '2023-07-05 07:54:28', '2023-07-05 08:29:17', '2023-07-05 08:29:28', '2023-07-05 09:04:05', '2023-07-05 17:27:06', '2023-07-05 17:26:54', '2023-07-05 08:42:14', '2023-07-05 16:56:04', '2023-07-05 13:16:09', '2023-07-05 08:33:35', '2023-07-05 08:51:24', '2023-07-07 15:39:45', '2023-07-10 15:06:44', '2023-07-10 09:01:35', '2023-07-10 09:48:07', '2023-07-10 12:49:53', '2023-07-10 08:54:24', '2023-07-11 12:02:16', '2023-07-11 11:56:32', '2023-07-11 11:48:49', '2023-07-11 11:38:51', '2023-07-11 11:42:59', '2023-07-11 10:49:27', '2023-07-11 11:32:32', '2023-07-11 10:36:27', '2023-07-12 17:15:20', '2023-07-16 11:37:50', '2023-07-16 13:19:18', '2023-07-16 13:18:59', '2023-07-16 12:24:07', '2023-07-16 11:52:50', '2023-07-20 10:20:02', '2023-07-26 18:00:23', '2023-07-02 11:50:58', '2023-07-24 15:30:03', '2023-07-27 17:00:21', '2023-07-30 17:41:30', '2023-07-30 17:18:02', '2023-07-30 18:10:38', '2023-07-30 17:20:00', '2023-07-31 21:42:10', '2023-07-30 18:32:03', '2023-08-01 15:19:14', '2023-08-01 08:48:59', '2023-08-01 07:27:37', '2023-08-01 18:15:27', '2023-08-01 14:32:05', '2023-08-01 08:32:38', '2023-08-02 15:19:51', '2023-08-02 14:57:47', '2023-08-02 17:40:50', '2023-08-02 13:02:38', '2023-08-03 13:11:01', '2023-08-03 08:59:10', '2023-08-03 13:14:57', '2023-08-03 16:01:51', '2023-08-06 08:57:20', '2023-08-06 15:42:34', '2023-08-06 13:28:05', '2023-08-06 15:29:13', '2023-08-07 13:30:24', '2023-08-08 12:06:09', '2023-08-08 13:23:19', '2023-08-08 11:16:44', '2023-08-08 17:25:06', '2023-08-08 10:44:23', '2023-08-08 12:03:23', '2023-08-08 11:28:21', '2023-08-08 11:16:47', '2023-08-08 13:45:34', '2023-08-08 12:55:53']","['2023-07-02 11:23:58', '2023-07-02 17:17:14', '2023-07-02 17:17:15', '2023-07-05 18:17:24', '2023-07-05 15:02:47', '2023-07-05 15:03:28', '2023-07-05 09:24:09', '2023-07-05 17:29:51', '2023-07-05 17:29:54', '2023-07-05 10:00:47', '2023-07-05 16:59:34', '2023-07-05 14:22:09', '2023-07-05 09:17:35', '2023-07-05 09:13:09', '2023-07-07 15:42:30', '2023-07-10 18:40:29', '2023-07-10 11:57:58', '2023-07-10 11:22:56', '2023-07-10 13:11:08', '2023-07-10 08:58:21', '2023-07-11 12:05:46', '2023-07-11 11:58:47', '2023-07-11 11:54:34', '2023-07-11 11:41:51', '2023-07-11 12:52:44', '2023-07-11 11:24:42', '2023-07-11 12:30:47', '2023-07-11 14:38:51', '2023-07-13 09:29:08', '2023-07-16 13:17:35', '2023-07-16 13:22:03', '2023-07-16 15:29:29', '2023-07-17 03:28:52', '2023-07-16 11:54:50', '2023-07-20 14:59:00', '2023-07-26 19:54:49', '2023-07-02 12:57:56', '2023-07-24 16:15:11', '2023-07-27 17:03:21', '2023-07-30 18:17:00', '2023-07-30 17:57:47', '2023-07-30 19:06:23', '2023-07-30 18:22:15', '2023-07-31 21:49:10', '2023-07-30 18:40:18', '2023-08-01 15:21:44', '2023-08-01 14:16:44', '2023-08-01 07:29:37', '2023-08-01 18:17:27', '2023-08-01 14:34:20', '2023-08-01 08:35:38', '2023-08-02 15:23:21', '2023-08-02 20:33:29', '2023-08-02 17:50:20', '2023-08-02 19:24:53', '2023-08-03 13:13:31', '2023-08-03 15:49:10', '2023-08-03 13:16:57', '2023-08-03 16:05:21', '2023-08-06 15:56:20', '2023-08-06 15:45:34', '2023-08-06 13:31:20', '2023-08-06 16:56:53', '2023-08-07 13:35:39', '2023-08-08 13:45:09', '2023-08-08 15:27:00', '2023-08-08 11:18:44', '2023-08-08 17:42:21', '2023-08-08 10:50:53', '2023-08-08 15:34:33', '2023-08-08 13:57:39', '2023-08-08 11:26:02', '2023-08-08 14:59:04', '2023-08-08 13:08:23']","[2.25, 311.9166666666667, 271.25, 622.9333333333333, 393.5, 394.0, 20.066666666666666, 2.75, 3.0, 78.55, 3.5, 66.0, 44.0, 21.75, 2.75, 213.75, 176.38333333333333, 94.81666666666666, 21.25, 3.95, 3.5, 2.25, 5.75, 3.0, 69.75, 35.25, 58.25, 242.4, 973.8, 99.75, 2.75, 130.5, 904.75, 2.0, 278.96666666666664, 114.43333333333334, 66.96666666666667, 45.13333333333333, 3.0, 35.5, 39.75, 55.75, 62.25, 7.0, 8.25, 2.5, 327.75, 2.0, 2.0, 2.25, 3.0, 3.5, 335.7, 9.5, 382.25, 2.5, 410.0, 2.0, 3.5, 419.0, 3.0, 3.25, 87.66666666666667, 5.25, 99.0, 123.68333333333334, 2.0, 17.25, 6.5, 211.16666666666666, 149.3, 9.25, 73.5, 12.5]"
"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')","[""'01241"", ""'01401"", ""'01511"", ""'02011"", ""'02421"", ""'11331"", ""'15101"", ""'15411"", ""'1551"", ""'19331"", ""'20291"", ""'23101"", ""'23171"", ""'23541"", ""'24441"", ""'25141""]",16,"[495.0, 555.0, 510.0, 2502.0, 585.0, 645.0, 660.0, 751.0, 540.0, 465.0, 5183.0, 735.0, 4813.0, 495.0, 870.0, 7479.0]","['2023-07-02 12:05:23', '2023-07-02 13:29:18', '2023-07-02 12:05:23', '2023-07-05 12:04:06', '2023-07-05 09:54:04', '2023-07-20 10:18:23', '2023-07-27 10:33:54', '2023-07-27 12:00:25', '2023-07-27 11:36:51', '2023-08-01 10:56:33', '2023-08-02 17:26:16', '2023-08-06 09:36:37', '2023-08-06 09:58:35', '2023-08-06 08:16:16', '2023-08-07 09:35:06', '2023-08-08 13:53:53']","['2023-07-02 17:11:19', '2023-07-02 17:11:18', '2023-07-02 15:52:53', '2023-07-05 12:45:07', '2023-07-05 14:59:34', '2023-07-20 16:47:53', '2023-07-27 17:03:39', '2023-07-27 17:03:25', '2023-07-27 15:55:57', '2023-08-01 18:17:47', '2023-08-02 20:08:18', '2023-08-06 13:48:33', '2023-08-06 17:54:51', '2023-08-06 15:32:20', '2023-08-07 17:03:38', '2023-08-08 15:48:10']","[305.93333333333334, 222.0, 227.5, 41.016666666666666, 305.5, 389.5, 389.75, 303.0, 259.1, 441.23333333333335, 162.03333333333333, 251.93333333333334, 476.26666666666665, 436.06666666666666, 448.53333333333336, 114.28333333333333]"
"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')","[""'01371"", ""'02521"", ""'11531"", ""'12521"", ""'14411"", ""'15091"", ""'15261"", ""'15271"", ""'15501"", ""'15532"", ""'19181"", ""'21081"", ""'21381"", ""'23071"", ""'23141"", ""'24341"", ""'24481""]",17,"[810.0, 1099.0, 12852.0, 5970.0, 1935.0, 7039.0, 780.0, 810.0, 737.0, 780.0, 780.0, 915.0, 960.0, 705.0, 2400.0, 6046.0, 1065.0]","['2023-07-02 12:05:35', '2023-07-05 09:18:16', '2023-07-20 10:18:26', '2023-07-21 13:35:19', '2023-07-26 17:22:01', '2023-07-27 10:34:00', '2023-07-27 10:34:02', '2023-07-27 12:15:22', '2023-07-27 11:37:02', '2023-07-27 11:36:47', '2023-08-01 08:06:02', '2023-08-03 09:49:34', '2023-08-03 09:24:40', '2023-08-06 08:49:09', '2023-08-06 09:58:47', '2023-08-07 10:24:48', '2023-08-07 09:35:12']","['2023-07-02 16:44:13', '2023-07-05 14:01:09', '2023-07-20 16:05:38', '2023-07-21 14:58:34', '2023-07-26 20:36:46', '2023-07-27 18:17:34', '2023-07-27 14:49:47', '2023-07-27 17:29:37', '2023-07-27 17:30:02', '2023-07-27 18:33:47', '2023-08-01 15:36:47', '2023-08-03 12:59:15', '2023-08-03 14:55:48', '2023-08-06 15:06:09', '2023-08-06 16:46:32', '2023-08-07 16:30:04', '2023-08-07 17:39:03']","[278.6333333333333, 282.8833333333333, 347.2, 83.25, 194.75, 463.56666666666666, 255.75, 314.25, 353.0, 417.0, 450.75, 189.68333333333334, 331.1333333333333, 377.0, 407.75, 365.26666666666665, 483.85]"
"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')","[""'06521"", ""'15191""]",2,"[13126.0, 8399.0]","['2023-07-11 11:02:07', '2023-07-27 11:37:04']","['2023-07-11 18:00:32', '2023-07-27 18:17:34']","[418.4166666666667, 400.5]"
"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')","[""'11411""]",1,[9159.0],['2023-07-20 10:56:22'],['2023-07-20 18:10:16'],[433.9]
