ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'21081,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Shuttle_Avalanche')",9044.0,2023-08-03 10:05:34,2023-08-03 12:41:49,156.25
'21141,"('Avalanche_parking', 'Shuttle_Avalanche')",405.0,2023-08-03 12:56:46,2023-08-03 13:01:01,4.25
'21191,"('Avalanche_parking', 'Shuttle_Avalanche')",3525.0,2023-08-03 08:39:39,2023-08-03 15:51:24,431.75
'21231,"('Avalanche_parking', 'Shuttle_Avalanche')",1380.0,2023-08-03 09:12:35,2023-08-03 13:41:57,269.3666666666667
'21341,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",11325.0,2023-08-03 09:12:25,2023-08-03 12:20:25,188.0
'21351,"('Avalanche_parking', 'Shuttle_Avalanche')",691.0,2023-08-03 09:21:11,2023-08-03 13:04:57,223.76666666666668
'21381,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",6090.0,2023-08-03 09:40:10,2023-08-03 14:40:22,300.2
'21501,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",10170.0,2023-08-03 10:08:10,2023-08-03 12:43:40,155.5
'21521,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",20834.0,2023-08-03 10:46:44,2023-08-03 15:52:36,305.8666666666667
'23011,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",5985.0,2023-08-06 09:40:57,2023-08-06 14:51:12,310.25
'23041,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",21194.0,2023-08-06 09:09:12,2023-08-06 14:51:12,342.0
'23071,"('Avalanche_parking', 'Shuttle_Avalanche')",4800.0,2023-08-06 09:03:09,2023-08-06 14:51:09,348.0
'23101,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking')",7994.0,2023-08-06 09:54:18,2023-08-06 13:36:18,222.0
'23141,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",5835.0,2023-08-06 10:15:02,2023-08-06 16:10:32,355.5
'23171,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",8685.0,2023-08-06 10:15:00,2023-08-06 16:30:23,375.3833333333333
'23201,"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Avalanche_parking', 'Shuttle_Avalanche')",8429.0,2023-08-06 09:08:50,2023-08-06 15:43:50,395.0
'23291,"('Avalanche_parking', 'Shuttle_Avalanche')",510.0,2023-08-06 15:27:49,2023-08-06 15:33:04,5.25
'23341,"('Avalanche_parking', 'Shuttle_Avalanche')",3765.0,2023-08-06 09:40:53,2023-08-06 16:30:08,409.25
'23441,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",3074.0,2023-08-06 12:49:20,2023-08-06 13:17:35,28.25
'23541,"('Avalanche_parking', 'Shuttle_Avalanche')",2925.0,2023-08-06 14:52:35,2023-08-06 15:18:05,25.5
'24041,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')",9360.0,2023-08-07 08:53:12,2023-08-07 11:40:12,167.0
'24171,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",13709.0,2023-08-07 09:42:54,2023-08-07 13:20:09,217.25
'24231,"('Avalanche_parking', 'Shuttle_Avalanche')",4920.0,2023-08-07 10:14:52,2023-08-07 10:57:07,42.25
'24321,"('Avalanche_parking', 'Shuttle_Avalanche')",4245.0,2023-08-07 10:15:04,2023-08-07 10:51:34,36.5
'24341,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_trail', 'Trail_of_Cedars', 'Shuttle_Avalanche')",14250.0,2023-08-07 10:40:33,2023-08-07 14:46:03,245.5
'24441,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",1770.0,2023-08-07 09:51:36,2023-08-07 16:47:36,416.0
'24481,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",10182.0,2023-08-07 09:51:27,2023-08-07 17:24:48,453.35
'24541,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",1514.0,2023-08-07 09:19:40,2023-08-07 16:49:19,449.65
'25231,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking')",811.0,2023-08-08 13:35:42,2023-08-08 13:51:58,16.266666666666666
'25241,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')",13515.0,2023-08-08 13:07:51,2023-08-08 16:56:51,229.0
'25421,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",18255.0,2023-08-08 11:38:47,2023-08-08 16:42:31,303.73333333333335
'25431,"('Avalanche_parking',)",225.0,2023-08-08 13:32:19,2023-08-08 13:36:04,3.75
