Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Rising_sun_boat_dock',)","[""'01061"", ""'03161"", ""'03471"", ""'03551"", ""'05261"", ""'08231"", ""'09041"", ""'09281"", ""'09331"", ""'12151"", ""'12161"", ""'12301"", ""'12401"", ""'12521"", ""'13041"", ""'13231"", ""'13241"", ""'13511"", ""'18131"", ""'18151"", ""'19311"", ""'20201"", ""'20391"", ""'22021"", ""'22121"", ""'22461"", ""'25231""]",27,"[120.0, 135.0, 165.0, 165.0, 1920.0, 255.0, 8520.0, 3510.0, 2550.0, 135.0, 120.0, 120.0, 285.0, 150.0, 180.0, 150.0, 180.0, 120.0, 120.0, 120.0, 150.0, 1485.0, 6135.0, 120.0, 120.0, 315.0, 390.0]","['2023-07-02 16:12:10', '2023-07-06 10:38:00', '2023-07-06 13:12:22', '2023-07-06 11:28:16', '2023-07-10 14:51:59', '2023-07-14 14:55:38', '2023-07-16 09:22:32', '2023-07-16 08:03:37', '2023-07-16 08:11:06', '2023-07-21 10:02:36', '2023-07-21 10:39:05', '2023-07-21 11:06:43', '2023-07-21 09:27:59', '2023-07-21 16:39:34', '2023-07-24 11:14:03', '2023-07-24 10:03:27', '2023-07-24 11:14:02', '2023-07-24 14:23:26', '2023-08-01 08:33:29', '2023-08-01 08:33:30', '2023-08-01 12:50:39', '2023-08-02 12:34:48', '2023-08-02 12:21:17', '2023-08-06 13:22:15', '2023-08-06 13:49:53', '2023-08-06 09:14:49', '2023-08-08 15:54:58']","['2023-07-02 16:14:10', '2023-07-06 10:40:15', '2023-07-06 13:15:07', '2023-07-06 11:31:01', '2023-07-10 15:23:59', '2023-07-14 17:49:05', '2023-07-16 11:44:32', '2023-07-16 11:49:37', '2023-07-16 08:53:36', '2023-07-21 10:04:51', '2023-07-21 10:41:05', '2023-07-21 11:08:43', '2023-07-21 12:31:44', '2023-07-21 16:42:04', '2023-07-24 11:17:03', '2023-07-24 10:05:57', '2023-07-24 11:17:02', '2023-07-24 14:25:26', '2023-08-01 08:35:29', '2023-08-01 08:35:30', '2023-08-01 12:53:09', '2023-08-02 12:59:33', '2023-08-02 15:47:02', '2023-08-06 13:24:15', '2023-08-06 13:51:53', '2023-08-06 17:02:32', '2023-08-08 16:01:43']","[2.0, 2.25, 2.75, 2.75, 32.0, 173.45, 142.0, 226.0, 42.5, 2.25, 2.0, 2.0, 183.75, 2.5, 3.0, 2.5, 3.0, 2.0, 2.0, 2.0, 2.5, 24.75, 205.75, 2.0, 2.0, 467.71666666666664, 6.75]"
"('Rising_sun',)","[""'02031"", ""'02091"", ""'02111"", ""'02331"", ""'06381"", ""'06441"", ""'07131"", ""'10091"", ""'10241"", ""'14151"", ""'17121"", ""'17131"", ""'17231"", ""'17431"", ""'25201""]",15,"[675.0, 4710.0, 4710.0, 705.0, 5145.0, 5280.0, 120.0, 495.0, 495.0, 825.0, 165.0, 7995.0, 3420.0, 8809.0, 1560.0]","['2023-07-05 12:15:58', '2023-07-05 11:39:47', '2023-07-05 11:39:43', '2023-07-05 14:10:14', '2023-07-11 13:36:14', '2023-07-11 18:59:29', '2023-07-12 15:17:29', '2023-07-16 09:41:39', '2023-07-16 09:41:41', '2023-07-26 15:54:20', '2023-08-01 07:38:26', '2023-07-31 17:40:03', '2023-07-31 17:23:07', '2023-07-31 16:33:14', '2023-08-08 13:21:44']","['2023-07-05 15:35:44', '2023-07-05 12:58:17', '2023-07-05 12:58:13', '2023-07-05 14:21:59', '2023-07-11 15:01:59', '2023-07-11 20:27:29', '2023-07-12 15:19:29', '2023-07-16 09:49:54', '2023-07-16 09:49:56', '2023-07-26 16:08:05', '2023-08-01 07:41:11', '2023-08-01 07:41:18', '2023-07-31 18:20:52', '2023-07-31 19:59:33', '2023-08-08 13:47:44']","[199.76666666666668, 78.5, 78.5, 11.75, 85.75, 88.0, 2.0, 8.25, 8.25, 13.75, 2.75, 841.25, 57.75, 206.31666666666666, 26.0]"
"('Rising_sun', 'Rising_sun_boat_dock')","[""'02241"", ""'02551"", ""'17441""]",3,"[5400.0, 3810.0, 1590.0]","['2023-07-05 09:55:39', '2023-07-05 11:44:09', '2023-07-31 16:32:47']","['2023-07-05 13:36:54', '2023-07-05 14:41:24', '2023-07-31 18:40:17']","[221.25, 177.25, 127.5]"
"('Rising_sun_boat_dock', 'Rising_sun_picnic_area')","[""'02321"", ""'20021""]",2,"[495.0, 13035.0]","['2023-07-05 13:24:48', '2023-08-02 11:07:48']","['2023-07-05 14:13:18', '2023-08-02 14:46:48']","[48.5, 219.0]"
"('Rising_sun_picnic_area',)","[""'02451"", ""'05451"", ""'14321""]",3,"[4276.0, 4276.0, 9435.0]","['2023-07-05 10:26:22', '2023-07-05 10:26:22', '2023-07-26 17:48:34']","['2023-07-05 11:41:08', '2023-07-05 11:41:08', '2023-07-26 20:34:34']","[74.76666666666667, 74.76666666666667, 166.0]"
"('Rising_sun_boat_dock', 'Shuttle_Rising_Sun')","[""'03031"", ""'03411"", ""'22531""]",3,"[315.0, 315.0, 3675.0]","['2023-07-06 12:23:26', '2023-07-06 15:14:16', '2023-08-06 12:44:43']","['2023-07-06 12:26:41', '2023-07-06 15:17:16', '2023-08-06 13:24:13']","[3.25, 3.0, 39.5]"
"('Otokomi_lake_trail', 'Rising_sun_boat_dock', 'Shuttle_Rising_Sun')","[""'22411""]",1,[25312.0],['2023-08-06 09:47:10'],['2023-08-06 17:02:57'],[435.78333333333336]
