id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12
'02471,Lake_macdonald_lodge,2023-07-05 08:33:35,2023-07-05 08:58:35,1500.0,Lake_macdonald_lodge,2023-07-05 09:02:05,2023-07-05 09:17:35,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02481,Lake_macdonald_lodge,2023-07-05 08:51:24,2023-07-05 09:13:09,1305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02521,Lake_macdonald_lodge,2023-07-05 09:18:16,2023-07-05 09:21:46,210.0,Shuttle_Lake_macdonald,2023-07-05 09:19:01,2023-07-05 09:21:31,150.0,Lake_macdonald_lodge,2023-07-05 13:52:16,2023-07-05 14:01:09,533.0,Shuttle_Lake_macdonald,2023-07-05 13:53:31,2023-07-05 13:56:57,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'04051,Lake_macdonald_lodge,2023-07-07 15:39:45,2023-07-07 15:42:30,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05071,Lake_macdonald_lodge,2023-07-10 15:06:44,2023-07-10 17:17:59,7875.0,Lake_macdonald_lodge,2023-07-10 18:34:59,2023-07-10 18:40:29,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05121,Lake_macdonald_lodge,2023-07-10 09:01:35,2023-07-10 09:25:43,1448.0,Lake_macdonald_lodge,2023-07-10 09:30:58,2023-07-10 09:36:27,329.0,Lake_macdonald_lodge,2023-07-10 09:40:27,2023-07-10 10:05:28,1501.0,Lake_macdonald_lodge,2023-07-10 11:48:13,2023-07-10 11:57:58,585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05141,Lake_macdonald_lodge,2023-07-10 09:48:07,2023-07-10 09:51:52,225.0,Lake_macdonald_lodge,2023-07-10 09:53:52,2023-07-10 10:03:52,600.0,Lake_macdonald_lodge,2023-07-10 10:05:52,2023-07-10 10:08:22,150.0,Lake_macdonald_lodge,2023-07-10 11:08:52,2023-07-10 11:22:56,844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05171,Lake_macdonald_lodge,2023-07-10 12:49:53,2023-07-10 13:11:08,1275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05291,Lake_macdonald_lodge,2023-07-10 16:46:33,2023-07-10 17:03:48,1035.0,Shuttle_Lake_macdonald,2023-07-10 16:46:48,2023-07-10 17:03:03,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05541,Lake_macdonald_lodge,2023-07-10 08:54:24,2023-07-10 08:58:21,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
