id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13,location_14,enter_time_14,exit_time_14,duration_14,location_15,enter_time_15,exit_time_15,duration_15,location_16,enter_time_16,exit_time_16,duration_16,location_17,enter_time_17,exit_time_17,duration_17,location_18,enter_time_18,exit_time_18,duration_18,location_19,enter_time_19,exit_time_19,duration_19,location_20,enter_time_20,exit_time_20,duration_20,location_21,enter_time_21,exit_time_21,duration_21,location_22,enter_time_22,exit_time_22,duration_22,location_23,enter_time_23,exit_time_23,duration_23
'02251,Apgar_VC_parking,2023-07-05 09:04:44,2023-07-05 09:15:44,660.0,Apgar_village,2023-07-05 09:17:29,2023-07-05 13:23:14,14745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02271,Apgar_VC_parking,2023-07-05 07:14:43,2023-07-05 07:24:28,585.0,Apgar_VC,2023-07-05 07:25:43,2023-07-05 08:01:56,2098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02281,Apgar_VC_parking,2023-07-05 15:12:17,2023-07-05 15:15:17,180.0,Apgar_VC,2023-07-05 15:15:32,2023-07-05 15:25:17,585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02291,Apgar_VC_parking,2023-07-05 07:13:58,2023-07-05 07:23:43,585.0,Apgar_VC,2023-07-05 07:23:58,2023-07-05 23:01:26,3585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02301,Apgar_village,2023-07-05 15:37:25,2023-07-05 15:42:10,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02331,Apgar_village,2023-07-05 08:03:37,2023-07-05 08:07:07,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02361,Apgar_VC_parking,2023-07-05 08:25:45,2023-07-05 14:10:30,18930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02411,Apgar_VC_parking,2023-07-05 07:33:07,2023-07-05 07:35:07,120.0,Apgar_VC,2023-07-05 07:35:22,2023-07-05 17:56:20,26394.0,Apgar_VC_parking,2023-07-05 17:56:35,2023-07-05 17:59:05,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02421,Apgar_VC_parking,2023-07-05 08:52:49,2023-07-05 08:57:34,285.0,Apgar_VC,2023-07-05 08:58:04,2023-07-05 09:34:04,2160.0,Apgar_VC_parking,2023-07-05 15:26:19,2023-07-05 15:30:34,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02431,Apgar_village,2023-07-05 08:54:44,2023-07-05 13:08:57,8848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
