id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7
'09331,Rising_sun_boat_dock,2023-07-16 08:11:06,2023-07-16 08:53:36,2550.0,,,,,,,,,,,,,,,,,,,,,,,,
'10091,Rising_sun,2023-07-16 09:41:39,2023-07-16 09:49:54,495.0,,,,,,,,,,,,,,,,,,,,,,,,
'10241,Rising_sun,2023-07-16 09:41:41,2023-07-16 09:49:56,495.0,,,,,,,,,,,,,,,,,,,,,,,,
'12151,Rising_sun_boat_dock,2023-07-21 10:02:36,2023-07-21 10:04:51,135.0,,,,,,,,,,,,,,,,,,,,,,,,
'12161,Rising_sun_boat_dock,2023-07-21 10:39:05,2023-07-21 10:41:05,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'12301,Rising_sun_boat_dock,2023-07-21 11:06:43,2023-07-21 11:08:43,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'12401,Rising_sun_boat_dock,2023-07-21 09:27:59,2023-07-21 09:29:59,120.0,Rising_sun_boat_dock,2023-07-21 12:28:59,2023-07-21 12:31:44,165.0,,,,,,,,,,,,,,,,,,,,
'12521,Rising_sun_boat_dock,2023-07-21 16:39:34,2023-07-21 16:42:04,150.0,,,,,,,,,,,,,,,,,,,,,,,,
'13041,Rising_sun_boat_dock,2023-07-24 11:14:03,2023-07-24 11:17:03,180.0,,,,,,,,,,,,,,,,,,,,,,,,
'13231,Rising_sun_boat_dock,2023-07-24 10:03:27,2023-07-24 10:05:57,150.0,,,,,,,,,,,,,,,,,,,,,,,,
'13241,Rising_sun_boat_dock,2023-07-24 11:14:02,2023-07-24 11:17:02,180.0,,,,,,,,,,,,,,,,,,,,,,,,
'13511,Rising_sun_boat_dock,2023-07-24 14:23:26,2023-07-24 14:25:26,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'14151,Rising_sun,2023-07-26 15:54:20,2023-07-26 16:08:05,825.0,,,,,,,,,,,,,,,,,,,,,,,,
'14321,Rising_sun_picnic_area,2023-07-26 17:48:34,2023-07-26 17:50:34,120.0,Rising_sun_picnic_area,2023-07-26 17:57:34,2023-07-26 18:08:04,630.0,Rising_sun_picnic_area,2023-07-26 18:09:34,2023-07-26 20:30:49,8475.0,Rising_sun_picnic_area,2023-07-26 20:31:04,2023-07-26 20:34:34,210.0,,,,,,,,,,,,
'17121,Rising_sun,2023-08-01 07:38:26,2023-08-01 07:41:11,165.0,,,,,,,,,,,,,,,,,,,,,,,,
'17131,Rising_sun,2023-07-31 17:40:03,2023-07-31 19:50:33,7830.0,Rising_sun,2023-08-01 07:38:33,2023-08-01 07:41:18,165.0,,,,,,,,,,,,,,,,,,,,
'17231,Rising_sun,2023-07-31 17:23:07,2023-07-31 18:15:07,3120.0,Rising_sun,2023-07-31 18:15:52,2023-07-31 18:20:52,300.0,,,,,,,,,,,,,,,,,,,,
'17431,Rising_sun,2023-07-31 16:33:14,2023-07-31 16:41:44,510.0,Rising_sun,2023-07-31 16:53:59,2023-07-31 17:02:14,495.0,Rising_sun,2023-07-31 17:42:14,2023-07-31 18:22:18,2404.0,Rising_sun,2023-07-31 18:22:48,2023-07-31 18:33:33,645.0,Rising_sun,2023-07-31 18:39:18,2023-07-31 18:43:33,255.0,Rising_sun,2023-07-31 18:43:48,2023-07-31 19:54:48,4260.0,Rising_sun,2023-07-31 19:55:33,2023-07-31 19:59:33,240.0
'17441,Rising_sun_boat_dock,2023-07-31 16:32:47,2023-07-31 16:52:32,1185.0,Rising_sun_boat_dock,2023-07-31 18:32:17,2023-07-31 18:35:02,165.0,Rising_sun,2023-07-31 18:36:17,2023-07-31 18:40:17,240.0,,,,,,,,,,,,,,,,
'18131,Rising_sun_boat_dock,2023-08-01 08:33:29,2023-08-01 08:35:29,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'18151,Rising_sun_boat_dock,2023-08-01 08:33:30,2023-08-01 08:35:30,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'19311,Rising_sun_boat_dock,2023-08-01 12:50:39,2023-08-01 12:53:09,150.0,,,,,,,,,,,,,,,,,,,,,,,,
'20021,Rising_sun_boat_dock,2023-08-02 11:07:48,2023-08-02 14:18:18,11430.0,Rising_sun_picnic_area,2023-08-02 14:20:03,2023-08-02 14:46:48,1605.0,,,,,,,,,,,,,,,,,,,,
'20201,Rising_sun_boat_dock,2023-08-02 12:34:48,2023-08-02 12:59:33,1485.0,,,,,,,,,,,,,,,,,,,,,,,,
'20391,Rising_sun_boat_dock,2023-08-02 12:21:17,2023-08-02 13:52:47,5490.0,Rising_sun_boat_dock,2023-08-02 15:36:17,2023-08-02 15:47:02,645.0,,,,,,,,,,,,,,,,,,,,
'22021,Rising_sun_boat_dock,2023-08-06 13:22:15,2023-08-06 13:24:15,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'22121,Rising_sun_boat_dock,2023-08-06 13:49:53,2023-08-06 13:51:53,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'22411,Rising_sun_boat_dock,2023-08-06 09:47:10,2023-08-06 09:50:10,180.0,Otokomi_lake_trail,2023-08-06 09:59:10,2023-08-06 16:44:52,24342.0,Rising_sun_boat_dock,2023-08-06 16:53:07,2023-08-06 17:02:57,590.0,Shuttle_Rising_Sun,2023-08-06 16:58:52,2023-08-06 17:02:12,200.0,,,,,,,,,,,,
'22461,Rising_sun_boat_dock,2023-08-06 09:14:49,2023-08-06 09:17:49,180.0,Rising_sun_boat_dock,2023-08-06 17:00:17,2023-08-06 17:02:32,135.0,,,,,,,,,,,,,,,,,,,,
'22531,Rising_sun_boat_dock,2023-08-06 12:44:43,2023-08-06 13:24:13,2370.0,Shuttle_Rising_Sun,2023-08-06 13:01:58,2023-08-06 13:23:43,1305.0,,,,,,,,,,,,,,,,,,,,
'25201,Rising_sun,2023-08-08 13:21:44,2023-08-08 13:47:44,1560.0,,,,,,,,,,,,,,,,,,,,,,,,
'25231,Rising_sun_boat_dock,2023-08-08 15:54:58,2023-08-08 15:57:43,165.0,Rising_sun_boat_dock,2023-08-08 15:57:58,2023-08-08 16:01:43,225.0,,,,,,,,,,,,,,,,,,,,
