Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Sun_point_parking',)","[""'01061"", ""'02031"", ""'02081"", ""'02091"", ""'02161"", ""'02181"", ""'02201"", ""'02321"", ""'02331"", ""'02451"", ""'02551"", ""'03161"", ""'03201"", ""'03411"", ""'03471"", ""'03551"", ""'05011"", ""'05131"", ""'05451"", ""'06061"", ""'06301"", ""'07441"", ""'08231"", ""'09041"", ""'09111"", ""'09161"", ""'09381"", ""'09471"", ""'13041"", ""'13231"", ""'13241"", ""'13331"", ""'14411"", ""'20161"", ""'20291"", ""'20411"", ""'22221"", ""'22461"", ""'22471"", ""'25201""]",40,"[135.0, 1545.0, 2370.0, 1065.0, 1656.0, 1905.0, 1725.0, 255.0, 165.0, 1155.0, 345.0, 120.0, 120.0, 150.0, 135.0, 135.0, 420.0, 375.0, 1155.0, 143.0, 4605.0, 465.0, 150.0, 3525.0, 900.0, 4545.0, 165.0, 270.0, 285.0, 180.0, 135.0, 150.0, 360.0, 11685.0, 15090.0, 2922.0, 180.0, 120.0, 855.0, 6735.0]","['2023-07-02 16:22:25', '2023-07-05 15:47:10', '2023-07-05 12:54:42', '2023-07-05 13:07:17', '2023-07-05 11:48:41', '2023-07-05 15:13:15', '2023-07-05 16:02:44', '2023-07-05 13:13:48', '2023-07-05 13:47:44', '2023-07-05 09:58:38', '2023-07-05 11:29:54', '2023-07-06 10:49:00', '2023-07-06 12:49:39', '2023-07-06 12:58:01', '2023-07-06 13:23:22', '2023-07-06 16:39:31', '2023-07-10 12:00:02', '2023-07-10 15:04:05', '2023-07-05 09:58:38', '2023-07-11 12:10:25', '2023-07-10 13:33:40', '2023-07-12 15:43:09', '2023-07-14 15:05:23', '2023-07-16 11:52:17', '2023-07-16 08:17:50', '2023-07-16 08:55:04', '2023-07-16 07:56:59', '2023-07-16 09:41:50', '2023-07-24 11:25:33', '2023-07-24 10:13:12', '2023-07-24 11:25:32', '2023-07-24 13:22:16', '2023-07-26 15:45:46', '2023-08-02 12:45:35', '2023-08-02 10:43:31', '2023-08-02 11:20:39', '2023-08-06 13:47:35', '2023-08-06 16:49:47', '2023-08-06 11:44:20', '2023-08-08 14:59:39']","['2023-07-02 16:24:40', '2023-07-05 16:12:55', '2023-07-05 13:34:12', '2023-07-05 13:26:02', '2023-07-05 12:16:17', '2023-07-05 15:45:00', '2023-07-05 16:31:29', '2023-07-05 13:18:03', '2023-07-05 13:50:29', '2023-07-05 10:18:08', '2023-07-05 11:35:39', '2023-07-06 10:51:00', '2023-07-06 12:51:39', '2023-07-06 13:00:31', '2023-07-06 13:25:37', '2023-07-06 16:41:46', '2023-07-10 12:07:02', '2023-07-10 15:10:20', '2023-07-05 10:18:08', '2023-07-11 12:12:48', '2023-07-10 14:50:25', '2023-07-12 16:36:24', '2023-07-14 15:07:53', '2023-07-16 12:51:02', '2023-07-16 08:36:50', '2023-07-16 10:10:49', '2023-07-16 07:59:44', '2023-07-16 09:46:20', '2023-07-24 14:04:33', '2023-07-24 10:16:12', '2023-07-24 11:27:47', '2023-07-24 13:24:46', '2023-07-26 15:51:46', '2023-08-02 16:11:20', '2023-08-02 14:55:01', '2023-08-02 12:33:36', '2023-08-06 13:50:35', '2023-08-06 16:51:47', '2023-08-06 12:07:50', '2023-08-08 16:51:54']","[2.25, 25.75, 39.5, 18.75, 27.6, 31.75, 28.75, 4.25, 2.75, 19.5, 5.75, 2.0, 2.0, 2.5, 2.25, 2.25, 7.0, 6.25, 19.5, 2.3833333333333333, 76.75, 53.25, 2.5, 58.75, 19.0, 75.75, 2.75, 4.5, 159.0, 3.0, 2.25, 2.5, 6.0, 205.75, 251.5, 72.95, 3.0, 2.0, 23.5, 112.25]"
"('Sun_point_nature_trail', 'Sun_point_parking')","[""'02111"", ""'07391"", ""'09401"", ""'19311"", ""'22021"", ""'22121""]",6,"[945.0, 1471.0, 4411.0, 1095.0, 990.0, 1111.0]","['2023-07-05 13:07:28', '2023-07-06 12:07:23', '2023-07-16 09:39:01', '2023-08-01 14:13:09', '2023-08-06 10:08:33', '2023-08-06 10:08:52']","['2023-07-05 13:25:58', '2023-07-06 15:42:38', '2023-07-16 14:50:46', '2023-08-01 14:34:54', '2023-08-06 13:14:00', '2023-08-06 13:41:38']","[18.5, 215.25, 311.75, 21.75, 185.45, 212.76666666666668]"
"('Shuttle_Sun_point', 'Sun_point_parking')","[""'02301"", ""'02471"", ""'04301"", ""'05341"", ""'12401""]",5,"[16155.0, 2701.0, 16155.0, 2325.0, 570.0]","['2023-07-05 11:01:10', '2023-07-05 11:27:50', '2023-07-05 11:01:10', '2023-07-10 11:35:03', '2023-07-21 09:37:29']","['2023-07-05 14:04:10', '2023-07-05 12:10:35', '2023-07-05 14:04:10', '2023-07-10 13:06:48', '2023-07-21 12:21:44']","[183.0, 42.75, 183.0, 91.75, 164.25]"
