id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13
'02141,Logan_pass_parking,2023-07-05 09:51:50,2023-07-05 09:53:50,120.0,Hidden_lake_overlook,2023-07-05 10:03:35,2023-07-05 11:37:20,5625.0,Logan_pass_VC,2023-07-05 11:39:35,2023-07-05 11:50:50,675.0,Loop_highline_grinnell_glac,2023-07-05 11:53:05,2023-07-05 12:34:50,2505.0,Loop_highline_grinnell_glac,2023-07-05 12:37:05,2023-07-05 12:46:20,555.0,Logan_pass_VC,2023-07-05 12:49:05,2023-07-05 12:51:50,165.0,Logan_pass_parking,2023-07-05 12:52:05,2023-07-05 12:55:35,210.0,,,,,,,,,,,,,,,,,,,,,,,,
'02161,Logan_pass_VC,2023-07-05 10:44:08,2023-07-05 10:53:52,584.0,Logan_pass_VC,2023-07-05 11:04:08,2023-07-05 11:07:38,210.0,Logan_pass_parking,2023-07-05 11:08:23,2023-07-05 11:10:23,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02181,Logan_pass_parking,2023-07-05 10:39:39,2023-07-05 11:05:54,1575.0,Logan_pass_parking,2023-07-05 16:03:30,2023-07-05 16:20:15,1005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02191,Logan_pass_parking,2023-07-05 09:10:58,2023-07-05 09:41:58,1860.0,Logan_pass_VC,2023-07-05 09:42:28,2023-07-05 09:45:58,210.0,Hidden_lake_overlook,2023-07-05 09:50:58,2023-07-05 11:27:13,5775.0,Logan_pass_VC,2023-07-05 11:28:58,2023-07-05 11:45:13,975.0,Loop_highline_grinnell_glac,2023-07-05 11:50:28,2023-07-05 12:06:28,960.0,Loop_highline_grinnell_glac,2023-07-05 12:07:43,2023-07-05 13:33:58,5175.0,Loop_highline_grinnell_glac,2023-07-05 13:39:28,2023-07-05 13:46:43,435.0,Logan_pass_parking,2023-07-05 13:48:13,2023-07-05 13:50:58,165.0,,,,,,,,,,,,,,,,,,,,
'02201,Logan_pass_parking,2023-07-05 14:47:14,2023-07-05 14:51:14,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02221,Logan_pass_VC,2023-07-05 12:50:54,2023-07-05 13:09:39,1125.0,Hidden_lake_overlook,2023-07-05 13:11:39,2023-07-05 15:21:54,7815.0,Logan_pass_VC,2023-07-05 15:26:54,2023-07-05 15:36:09,555.0,Shuttle_Logan_pass,2023-07-05 15:36:24,2023-07-05 15:46:09,585.0,Logan_pass_parking,2023-07-05 15:39:09,2023-07-05 15:41:54,165.0,Logan_pass_parking,2023-07-05 15:42:24,2023-07-05 15:46:24,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02241,Logan_pass_parking,2023-07-05 14:03:39,2023-07-05 14:07:24,225.0,Logan_pass_VC,2023-07-05 14:23:39,2023-07-05 14:28:39,300.0,Logan_pass_VC,2023-07-05 14:29:24,2023-07-05 14:34:39,315.0,Hidden_lake_overlook,2023-07-05 14:36:54,2023-07-05 15:58:54,4920.0,Logan_pass_VC,2023-07-05 15:59:54,2023-07-05 16:06:24,390.0,Logan_pass_parking,2023-07-05 16:06:54,2023-07-05 16:09:09,135.0,Logan_pass_parking,2023-07-05 16:20:54,2023-07-05 16:23:09,135.0,,,,,,,,,,,,,,,,,,,,,,,,
'02271,Logan_pass_VC,2023-07-05 09:13:41,2023-07-05 09:18:41,300.0,Logan_pass_VC,2023-07-05 09:19:10,2023-07-05 09:23:56,286.0,Loop_highline_grinnell_glac,2023-07-05 09:39:23,2023-07-05 16:22:08,24165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02291,Logan_pass_VC,2023-07-05 09:13:42,2023-07-05 09:20:58,436.0,Logan_pass_VC,2023-07-05 09:21:13,2023-07-05 09:31:58,645.0,Loop_highline_grinnell_glac,2023-07-05 09:39:28,2023-07-05 16:15:43,23775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02301,Logan_pass_parking,2023-07-05 09:41:25,2023-07-05 10:31:10,2985.0,Logan_pass_parking,2023-07-05 14:22:10,2023-07-05 14:28:55,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02331,Logan_pass_parking,2023-07-05 10:43:59,2023-07-05 11:37:44,3225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02341,Logan_pass_VC,2023-07-05 10:38:46,2023-07-05 10:43:31,285.0,Loop_highline_grinnell_glac,2023-07-05 10:48:01,2023-07-05 18:31:46,27825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02351,Logan_pass_parking,2023-07-05 11:10:47,2023-07-05 11:15:47,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02431,Logan_pass_parking,2023-07-05 15:13:49,2023-07-05 15:18:04,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02441,Logan_pass_parking,2023-07-05 15:37:09,2023-07-05 16:39:39,3750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02451,Logan_pass_parking,2023-07-05 09:05:23,2023-07-05 09:12:38,435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02461,Logan_pass_parking,2023-07-05 08:19:37,2023-07-05 11:23:07,11010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02471,Logan_pass_parking,2023-07-05 10:54:05,2023-07-05 10:57:35,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02481,Logan_pass_parking,2023-07-05 10:45:11,2023-07-05 10:47:41,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02551,Logan_pass_parking,2023-07-05 10:53:54,2023-07-05 10:57:54,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03031,Shuttle_Logan_pass,2023-07-06 13:00:26,2023-07-06 13:02:41,135.0,Shuttle_Logan_pass,2023-07-06 13:05:56,2023-07-06 13:10:56,300.0,Loop_highline_grinnell_glac,2023-07-06 13:11:41,2023-07-06 14:15:11,3810.0,Shuttle_Logan_pass,2023-07-06 14:22:26,2023-07-06 14:43:41,1275.0,Logan_pass_parking,2023-07-06 14:46:41,2023-07-06 14:51:26,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03101,Logan_pass_VC,2023-07-06 12:42:17,2023-07-06 12:57:47,930.0,Hidden_lake_overlook,2023-07-06 13:00:47,2023-07-06 14:03:02,3735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03201,Logan_pass_VC,2023-07-06 16:26:09,2023-07-06 16:49:19,1390.0,Shuttle_Logan_pass,2023-07-06 16:50:19,2023-07-06 17:48:19,3480.0,Logan_pass_parking,2023-07-06 17:51:34,2023-07-06 17:54:19,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03311,Logan_pass_parking,2023-07-05 08:08:36,2023-07-05 08:12:06,210.0,Logan_pass_parking,2023-07-05 08:22:06,2023-07-05 08:50:36,1710.0,Loop_highline_grinnell_glac,2023-07-05 08:52:06,2023-07-05 08:59:51,465.0,Loop_highline_grinnell_glac,2023-07-05 09:02:06,2023-07-05 09:26:06,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03471,Logan_pass_VC,2023-07-06 16:19:58,2023-07-06 16:36:28,990.0,Hidden_lake_overlook,2023-07-06 16:37:43,2023-07-06 18:13:28,5745.0,Shuttle_Logan_pass,2023-07-06 18:15:13,2023-07-06 18:21:28,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0355,Logan_pass_parking,2023-07-12 17:44:46,2023-07-12 17:54:09,563.0,Hidden_lake_overlook,2023-07-12 17:57:39,2023-07-12 18:21:24,1425.0,Logan_pass_parking,2023-07-12 18:25:09,2023-07-12 18:30:24,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03551,Shuttle_Logan_pass,2023-07-06 12:01:16,2023-07-06 12:03:16,120.0,Logan_pass_VC,2023-07-06 12:05:16,2023-07-06 12:10:16,300.0,Hidden_lake_overlook,2023-07-06 12:12:31,2023-07-06 13:45:01,5550.0,Logan_pass_VC,2023-07-06 13:50:16,2023-07-06 13:54:01,225.0,Logan_pass_VC,2023-07-06 14:25:31,2023-07-06 14:27:46,135.0,Loop_highline_grinnell_glac,2023-07-06 14:29:46,2023-07-06 14:42:01,735.0,Loop_highline_grinnell_glac,2023-07-06 14:43:31,2023-07-06 14:47:31,240.0,Loop_highline_grinnell_glac,2023-07-06 14:50:46,2023-07-06 14:59:31,525.0,Shuttle_Logan_pass,2023-07-06 15:00:31,2023-07-06 15:02:31,120.0,Shuttle_Logan_pass,2023-07-06 15:13:16,2023-07-06 16:14:16,3660.0,,,,,,,,,,,,
'04051,Logan_pass_parking,2023-07-07 16:54:30,2023-07-07 16:56:45,135.0,Hidden_lake_overlook,2023-07-07 17:19:59,2023-07-07 18:39:00,4741.0,Logan_pass_VC,2023-07-07 18:40:15,2023-07-07 18:42:45,150.0,Shuttle_Logan_pass,2023-07-07 18:44:45,2023-07-07 18:47:30,165.0,Logan_pass_parking,2023-07-07 18:45:45,2023-07-07 18:48:30,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'04301,Logan_pass_parking,2023-07-05 09:41:25,2023-07-05 10:31:10,2985.0,Logan_pass_parking,2023-07-05 14:22:10,2023-07-05 14:28:55,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05071,Logan_pass_parking,2023-07-10 11:42:29,2023-07-10 14:08:59,8790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05081,Logan_pass_parking,2023-07-10 10:24:08,2023-07-10 12:54:38,9030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
