ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'02191,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'StMary_falls_trail', 'Viriginia_falls_trail')",18660.0,2023-07-05 09:10:58,2023-07-05 16:21:43,430.75
'02201,"('Avalanche_parking', 'Avalanche_trail', 'Big_bend', 'Jackson_glac_overlook', 'Logan_pass_parking', 'Lunch_creek', 'Shuttle_Avalanche', 'Sun_point_parking', 'Trail_of_Cedars', 'Wild_goose_island')",19995.0,2023-07-05 08:13:14,2023-07-05 16:53:14,520.0
'02211,"('Apgar_campground', 'Apgar_village', 'Avalanche_parking', 'Avalanche_trail', 'Shuttle_Avalanche', 'Trail_of_Cedars')",20580.0,2023-07-05 07:56:45,2023-07-05 14:09:45,373.0
'02221,"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Avalanche_trail', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Trail_of_Cedars')",33097.0,2023-07-05 07:58:54,2023-07-05 23:56:20,957.4333333333333
'02231,"('Apgar_village', 'Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars')",6375.0,2023-07-05 07:45:43,2023-07-05 16:49:43,544.0
'02241,"('Baring_falls_trail', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Many_glacier_trail', 'Rising_sun', 'Rising_sun_boat_dock')",23220.0,2023-07-05 09:55:39,2023-07-05 20:20:24,624.75
'02251,"('Apgar_VC_parking', 'Apgar_village')",15405.0,2023-07-05 09:04:44,2023-07-05 13:23:14,258.5
'02271,"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Avalanche', 'Shuttle_Loop')",30612.0,2023-07-05 07:14:43,2023-07-05 17:29:51,615.1333333333333
'02281,"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_trail', 'Big_bend', 'Trail_of_Cedars')",18420.0,2023-07-05 07:53:02,2023-07-05 15:25:17,452.25
'02291,"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Avalanche', 'Shuttle_Loop')",32147.0,2023-07-05 07:13:58,2023-07-05 23:01:26,947.4666666666667
'02301,"('Apgar_village', 'Big_bend', 'Logan_pass_parking', 'Loop_parking', 'Shuttle_Sun_point', 'Sun_point_parking')",20400.0,2023-07-05 09:08:10,2023-07-05 15:42:10,394.0
'02321,"('Baring_falls_parking', 'Rising_sun_boat_dock', 'Rising_sun_picnic_area', 'StMary_falls_trail', 'St_mary_VC', 'St_mary_falls_parking', 'Sun_point_parking', 'Viriginia_falls_trail')",6323.0,2023-07-05 09:45:33,2023-07-05 14:54:27,308.9
'02331,"('Apgar_village', 'Baring_falls_parking', 'Logan_pass_parking', 'Loop_parking', 'Lunch_creek_parking', 'Oberlin_bend', 'Rising_sun', 'St_mary_VC_parking', 'Sun_point_parking')",20115.0,2023-07-05 08:03:37,2023-07-05 22:32:29,868.8666666666667
'02341,"('Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Loop_parking', 'Shuttle_Loop')",33105.0,2023-07-05 09:04:46,2023-07-05 18:50:16,585.5
'02351,"('Baring_falls_parking', 'Baring_falls_trail', 'Gunsight_pass_trailhead', 'Jackson_glac_overlook', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'St_mary_VC', 'St_mary_VC_parking', 'Wild_goose_island')",7715.0,2023-07-05 08:42:14,2023-07-05 13:26:16,284.03333333333336
'02361,"('Apgar_VC_parking',)",18930.0,2023-07-05 08:25:45,2023-07-05 14:10:30,344.75
'02411,"('Apgar_VC', 'Apgar_VC_parking')",26664.0,2023-07-05 07:33:07,2023-07-05 17:59:05,625.9666666666667
'02421,"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Avalanche_trail', 'Lake_macdonald_lodge', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Trail_of_Cedars')",19770.0,2023-07-05 08:52:49,2023-07-05 15:30:34,397.75
'02431,"('Apgar_village', 'Big_bend', 'Lake_macdonald_lodge', 'Logan_pass_parking')",9688.0,2023-07-05 08:54:44,2023-07-05 16:59:34,484.8333333333333
