id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13,location_14,enter_time_14,exit_time_14,duration_14,location_15,enter_time_15,exit_time_15,duration_15,location_16,enter_time_16,exit_time_16,duration_16,location_17,enter_time_17,exit_time_17,duration_17,location_18,enter_time_18,exit_time_18,duration_18,location_19,enter_time_19,exit_time_19,duration_19,location_20,enter_time_20,exit_time_20,duration_20,location_21,enter_time_21,exit_time_21,duration_21,location_22,enter_time_22,exit_time_22,duration_22,location_23,enter_time_23,exit_time_23,duration_23,location_24,enter_time_24,exit_time_24,duration_24,location_25,enter_time_25,exit_time_25,duration_25,location_26,enter_time_26,exit_time_26,duration_26,location_27,enter_time_27,exit_time_27,duration_27,location_28,enter_time_28,exit_time_28,duration_28
'02031,LakeMcDonald,2023-07-05 07:54:28,2023-07-05 09:29:30,5672.0,Logan,2023-07-05 10:59:43,2023-07-05 11:20:27,749.0,Waterfalls,2023-07-05 11:38:13,2023-07-05 11:41:13,180.0,RisingSun,2023-07-05 12:15:58,2023-07-05 15:35:44,675.0,SunPoint,2023-07-05 15:47:10,2023-07-05 16:12:55,1545.0,LakeMcDonald,2023-07-05 18:09:39,2023-07-05 18:17:24,465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02061,Avalanche,2023-07-05 09:14:40,2023-07-05 13:29:10,14745.0,Apgar,2023-07-05 15:28:55,2023-07-05 19:02:40,12197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02081,Apgar,2023-07-05 07:17:12,2023-07-05 07:24:57,465.0,Logan,2023-07-05 10:17:42,2023-07-05 12:22:27,7485.0,SunPoint,2023-07-05 12:54:42,2023-07-05 13:34:12,2370.0,StMary,2023-07-05 14:09:42,2023-07-05 14:27:57,1095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02091,Apgar,2023-07-05 07:44:47,2023-07-05 08:09:47,720.0,LakeMcDonald,2023-07-05 08:29:17,2023-07-05 08:42:17,780.0,Logan,2023-07-05 10:04:17,2023-07-05 10:38:47,1995.0,Waterfalls,2023-07-05 10:53:32,2023-07-05 11:03:02,570.0,RisingSun,2023-07-05 11:39:47,2023-07-05 12:58:17,4710.0,SunPoint,2023-07-05 13:07:17,2023-07-05 13:26:02,1065.0,Logan,2023-07-05 13:44:47,2023-07-05 13:56:17,690.0,LakeMcDonald,2023-07-05 14:47:02,2023-07-05 15:02:47,945.0,Apgar,2023-07-05 15:34:02,2023-07-05 15:38:02,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02101,Apgar,2023-07-05 08:07:35,2023-07-05 08:13:50,375.0,Logan,2023-07-05 09:59:15,2023-07-05 11:33:45,5220.0,StMary,2023-07-05 23:16:17,2023-07-05 23:22:02,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02111,Apgar,2023-07-05 07:21:58,2023-07-05 08:09:43,2625.0,LakeMcDonald,2023-07-05 08:29:28,2023-07-05 08:42:13,765.0,Logan,2023-07-05 10:04:13,2023-07-05 10:38:43,1545.0,Waterfalls,2023-07-05 10:53:27,2023-07-05 11:05:12,645.0,RisingSun,2023-07-05 11:39:43,2023-07-05 12:58:13,4710.0,SunPoint,2023-07-05 13:07:28,2023-07-05 13:25:58,945.0,Logan,2023-07-05 13:44:43,2023-07-05 13:56:13,690.0,LakeMcDonald,2023-07-05 14:46:58,2023-07-05 15:03:28,990.0,Apgar,2023-07-05 15:27:58,2023-07-05 15:32:43,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02141,Logan,2023-07-05 09:51:50,2023-07-05 12:55:35,9855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02161,Logan,2023-07-05 10:44:08,2023-07-05 11:10:23,914.0,Waterfalls,2023-07-05 11:23:23,2023-07-05 11:28:38,315.0,SunPoint,2023-07-05 11:48:41,2023-07-05 12:16:17,1656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02171,Avalanche,2023-07-05 08:22:44,2023-07-05 15:19:14,22439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02181,Apgar,2023-07-05 07:32:05,2023-07-05 08:45:20,4200.0,LakeMcDonald,2023-07-05 09:04:05,2023-07-05 09:24:09,1204.0,Logan,2023-07-05 10:39:39,2023-07-05 11:05:54,1575.0,Waterfalls,2023-07-05 11:17:09,2023-07-05 11:26:09,540.0,SunPoint,2023-07-05 15:13:15,2023-07-05 15:45:00,1905.0,Logan,2023-07-05 16:03:30,2023-07-05 16:20:15,1005.0,Apgar,2023-07-05 17:55:00,2023-07-06 00:32:08,14153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
