Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village', 'Jackson_glac_overlook', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Many_glacier_trail', 'Sun_point_parking', 'Wild_goose_island')","[""'02181""]",1,[33018.0],['2023-07-05 07:32:05'],['2023-07-06 00:32:08'],[1020.05]
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'StMary_falls_trail', 'Viriginia_falls_trail')","[""'02191""]",1,[18660.0],['2023-07-05 09:10:58'],['2023-07-05 16:21:43'],[430.75]
"('Avalanche_parking', 'Avalanche_trail', 'Big_bend', 'Jackson_glac_overlook', 'Logan_pass_parking', 'Lunch_creek', 'Shuttle_Avalanche', 'Sun_point_parking', 'Trail_of_Cedars', 'Wild_goose_island')","[""'02201""]",1,[19995.0],['2023-07-05 08:13:14'],['2023-07-05 16:53:14'],[520.0]
"('Apgar_campground', 'Apgar_village', 'Avalanche_parking', 'Avalanche_trail', 'Shuttle_Avalanche', 'Trail_of_Cedars')","[""'02211"", ""'05211""]",2,"[20580.0, 20580.0]","['2023-07-05 07:56:45', '2023-07-05 07:56:45']","['2023-07-05 14:09:45', '2023-07-05 14:09:45']","[373.0, 373.0]"
"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Avalanche_trail', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Trail_of_Cedars')","[""'02221""]",1,[33097.0],['2023-07-05 07:58:54'],['2023-07-05 23:56:20'],[957.4333333333333]
"('Apgar_village', 'Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars')","[""'02231""]",1,[6375.0],['2023-07-05 07:45:43'],['2023-07-05 16:49:43'],[544.0]
"('Baring_falls_trail', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Many_glacier_trail', 'Rising_sun', 'Rising_sun_boat_dock')","[""'02241""]",1,[23220.0],['2023-07-05 09:55:39'],['2023-07-05 20:20:24'],[624.75]
"('Apgar_VC_parking', 'Apgar_village')","[""'02251"", ""'06461"", ""'20381""]",3,"[15405.0, 2175.0, 285.0]","['2023-07-05 09:04:44', '2023-07-11 10:18:18', '2023-08-02 13:50:28']","['2023-07-05 13:23:14', '2023-07-11 10:56:48', '2023-08-02 13:57:58']","[258.5, 38.5, 7.5]"
"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Avalanche', 'Shuttle_Loop')","[""'02271"", ""'02291""]",2,"[30612.0, 32147.0]","['2023-07-05 07:14:43', '2023-07-05 07:13:58']","['2023-07-05 17:29:51', '2023-07-05 23:01:26']","[615.1333333333333, 947.4666666666667]"
"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_trail', 'Big_bend', 'Trail_of_Cedars')","[""'02281""]",1,[18420.0],['2023-07-05 07:53:02'],['2023-07-05 15:25:17'],[452.25]
