Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')","[""'03201"", ""'12161"", ""'15441"", ""'15532"", ""'18131""]",5,"[5035.0, 3541.0, 1215.0, 2820.0, 18000.0]","['2023-07-06 16:26:09', '2023-07-21 11:14:49', '2023-07-27 15:34:27', '2023-07-27 12:36:02', '2023-08-01 09:06:44']","['2023-07-06 17:54:19', '2023-07-21 14:52:20', '2023-07-27 15:53:57', '2023-07-27 17:35:47', '2023-08-01 14:09:14']","[88.16666666666667, 217.51666666666668, 19.5, 299.75, 302.5]"
"('Hidden_lake_overlook', 'Logan_pass_parking')","[""'0355"", ""'07181""]",2,"[2303.0, 3990.0]","['2023-07-12 17:44:46', '2023-07-12 16:51:36']","['2023-07-12 18:30:24', '2023-07-12 17:59:51']","[45.63333333333333, 68.25]"
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')","[""'03551"", ""'12301""]",2,"[11610.0, 13216.0]","['2023-07-06 12:01:16', '2023-07-21 11:39:28']","['2023-07-06 16:14:16', '2023-07-21 15:33:13']","[253.0, 233.75]"
"('Loop_highline_grinnell_glac',)","[""'05291"", ""'06421"", ""'15161"", ""'19541"", ""'22151""]",5,"[26010.0, 22303.0, 28695.0, 2910.0, 42150.0]","['2023-07-10 08:50:03', '2023-07-11 13:23:17', '2023-07-27 11:25:02', '2023-08-01 09:43:08', '2023-08-01 12:12:15']","['2023-07-10 16:03:33', '2023-07-11 19:35:00', '2023-07-27 19:36:17', '2023-08-01 10:32:08', '2023-08-01 23:54:45']","[433.5, 371.71666666666664, 491.25, 49.0, 702.5]"
"('Logan_pass_parking', 'Oberlin_climbing')","[""'07101""]",1,[7185.0],['2023-07-12 16:08:25'],['2023-07-12 18:14:25'],[126.0]
"('Shuttle_Logan_pass',)","[""'08231""]",1,[255.0],['2023-07-14 17:13:38'],['2023-07-14 17:17:53'],[4.25]
"('Logan_pass_VC', 'Logan_pass_parking', 'Oberlin_climbing')","[""'10471""]",1,[10110.0],['2023-07-18 18:42:24'],['2023-07-18 21:41:09'],[178.75]
"('Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')","[""'12021"", ""'18151"", ""'23511"", ""'25281""]",4,"[62445.0, 48885.0, 60615.0, 20865.0]","['2023-07-21 09:11:19', '2023-08-01 09:07:00', '2023-08-06 07:58:02', '2023-08-08 13:52:32']","['2023-07-22 02:32:49', '2023-08-01 23:54:45', '2023-08-07 00:56:47', '2023-08-08 19:45:32']","[1041.5, 887.75, 1018.75, 353.0]"
"('Logan_pass_VC',)","[""'12031""]",1,[31425.0],['2023-07-21 09:29:32'],['2023-07-21 19:11:35'],[582.05]
"('Logan_pass_parking', 'Shuttle_Logan_pass')","[""'12151"", ""'12521"", ""'13241"", ""'22471"", ""'24171""]",5,"[720.0, 1155.0, 360.0, 2940.0, 584.0]","['2023-07-21 10:36:36', '2023-07-21 08:58:49', '2023-07-24 11:51:26', '2023-08-06 08:56:20', '2023-08-07 08:58:18']","['2023-07-21 17:20:36', '2023-07-21 16:09:49', '2023-07-24 11:57:26', '2023-08-06 09:45:35', '2023-08-07 09:04:03']","[404.0, 431.0, 6.0, 49.25, 5.75]"
"('Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac')","[""'12251"", ""'14191"", ""'25041""]",3,"[21692.0, 4259.0, 16943.0]","['2023-07-21 08:59:59', '2023-07-26 16:35:32', '2023-08-08 12:14:38']","['2023-07-21 15:10:32', '2023-07-26 18:41:47', '2023-08-08 17:16:01']","[370.55, 126.25, 301.3833333333333]"
"('Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')","[""'13231"", ""'13511"", ""'15321"", ""'23341"", ""'24481""]",5,"[30435.0, 15930.0, 2460.0, 17281.0, 13365.0]","['2023-07-24 10:44:42', '2023-07-24 09:13:41', '2023-07-27 13:44:15', '2023-08-06 10:23:22', '2023-08-07 11:26:18']","['2023-07-24 19:49:27', '2023-07-24 13:53:11', '2023-07-27 14:51:30', '2023-08-06 15:19:53', '2023-08-07 16:08:18']","[544.75, 279.5, 67.25, 296.51666666666665, 282.0]"
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')","[""'15251"", ""'21141"", ""'23441"", ""'24541""]",4,"[11632.0, 13636.0, 11100.0, 18539.0]","['2023-07-27 11:35:42', '2023-08-03 08:12:16', '2023-08-06 08:49:50', '2023-08-07 10:28:25']","['2023-07-27 15:03:43', '2023-08-03 12:14:31', '2023-08-06 12:08:50', '2023-08-07 16:03:40']","[208.01666666666668, 242.25, 199.0, 335.25]"
"('Hidden_lake_overlook', 'Logan_pass_parking', 'Shuttle_Logan_pass')","[""'17531""]",1,[3450.0],['2023-07-31 18:23:25'],['2023-07-31 20:49:25'],[146.0]
"('Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')","[""'22091""]",1,[12480.0],['2023-08-06 10:34:10'],['2023-08-06 14:08:10'],[214.0]
"('Logan_pass_VC', 'Shuttle_Logan_pass')","[""'23071"", ""'23201""]",2,"[1485.0, 2460.0]","['2023-08-06 09:46:54', '2023-08-06 12:08:50']","['2023-08-06 13:33:09', '2023-08-06 14:58:05']","[226.25, 169.25]"
"('Hidden_lake_trail',)","[""'23281""]",1,[7050.0],['2023-08-06 09:46:36'],['2023-08-06 11:44:06'],[117.5]
