ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'07121,"('Apgar_VC',)",18939.0,2023-07-12 20:54:56,2023-07-13 04:31:03,456.1166666666667
'07131,"('Apgar_VC',)",3031.0,2023-07-12 18:03:59,2023-07-12 18:54:30,50.516666666666666
'07161,"('Apgar_VC_parking',)",330.0,2023-07-12 18:30:52,2023-07-12 18:38:37,7.75
'07221,"('Apgar_VC', 'Apgar_VC_parking')",2329.0,2023-07-12 18:00:26,2023-07-12 18:56:23,55.95
'07251,"('Apgar_campground',)",59535.0,2023-07-12 18:53:02,2023-07-13 11:25:17,992.25
'07351,"('Apgar_VC_parking', 'Apgar_village')",1785.0,2023-07-12 18:46:38,2023-07-12 19:18:23,31.75
'07411,"('Apgar_village',)",1125.0,2023-07-13 08:51:02,2023-07-13 09:09:47,18.75
'07451,"('Apgar_VC', 'Apgar_VC_parking')",8345.0,2023-07-12 20:02:12,2023-07-13 05:25:58,563.7666666666667
'07521,"('Apgar_VC_parking',)",150.0,2023-07-12 18:40:13,2023-07-12 18:42:43,2.5
'07541,"('Apgar_VC',)",149.0,2023-07-12 18:27:32,2023-07-12 18:30:01,2.4833333333333334
'09041,"('Apgar_VC_parking',)",570.0,2023-07-16 17:00:17,2023-07-16 17:10:17,10.0
'09111,"('Apgar_VC',)",12460.0,2023-07-16 14:09:20,2023-07-16 17:37:45,208.41666666666666
'09151,"('Apgar_village',)",3750.0,2023-07-16 13:37:20,2023-07-16 14:39:50,62.5
'09201,"('Apgar_VC', 'Apgar_VC_parking')",480.0,2023-07-16 09:44:01,2023-07-16 09:52:16,8.25
'09291,"('Apgar_campground',)",645.0,2023-07-16 10:43:29,2023-07-16 10:54:14,10.75
'09341,"('Apgar_village',)",7035.0,2023-07-16 14:23:33,2023-07-16 16:20:48,117.25
'09381,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village')",495.0,2023-07-16 15:51:29,2023-07-16 16:25:44,34.25
'09421,"('Apgar_village',)",11775.0,2023-07-16 14:34:37,2023-07-16 17:50:52,196.25
'09501,"('Apgar_VC_parking',)",555.0,2023-07-16 15:16:41,2023-07-16 15:25:56,9.25
'10081,"('Apgar_VC_parking',)",600.0,2023-07-18 16:40:23,2023-07-18 16:50:23,10.0
'10331,"('Apgar_VC', 'Apgar_VC_parking')",2312.0,2023-07-18 16:12:17,2023-07-18 16:51:04,38.78333333333333
'10361,"('Apgar_VC_parking',)",495.0,2023-07-18 16:05:50,2023-07-18 16:18:43,12.883333333333333
'10531,"('Apgar_VC_parking',)",345.0,2023-07-18 17:38:02,2023-07-18 17:43:47,5.75
'11111,"('Apgar_VC',)",20273.0,2023-07-20 20:44:32,2023-07-21 03:00:16,375.73333333333335
'11411,"('Apgar_VC',)",8127.0,2023-07-20 21:32:50,2023-07-21 03:19:18,346.46666666666664
'11421,"('Apgar_VC',)",150.0,2023-07-20 18:38:08,2023-07-20 18:40:38,2.5
'11531,"('Apgar_VC',)",14517.0,2023-07-20 09:50:33,2023-07-21 03:44:03,1073.5
'1321,"('Apgar_VC', 'Apgar_VC_parking')",6568.0,2023-07-02 10:10:30,2023-07-02 13:53:12,222.7
'13241,"('Apgar_VC',)",46590.0,2023-07-24 13:47:26,2023-07-25 02:44:11,776.75
'14081,"('Apgar_VC',)",31858.0,2023-07-26 19:04:21,2023-07-27 03:55:19,530.9666666666667
'14191,"('Apgar_VC',)",1125.0,2023-07-26 19:50:47,2023-07-26 20:09:32,18.75
'14221,"('Apgar_VC',)",56257.0,2023-07-26 17:41:42,2023-07-27 09:34:50,953.1333333333333
'14321,"('Apgar_VC',)",28444.0,2023-07-26 22:30:19,2023-07-27 07:38:05,547.7666666666667
'14421,"('Apgar_VC_parking',)",600.0,2023-07-26 19:04:01,2023-07-26 21:32:31,148.5
'15011,"('Apgar_VC',)",1110.0,2023-07-27 14:22:23,2023-07-27 14:40:53,18.5
'1512,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village')",2145.0,2023-07-27 13:25:36,2023-07-27 14:45:21,79.75
'15161,"('Apgar_VC',)",180.0,2023-07-28 00:00:14,2023-07-28 00:03:14,3.0
'15251,"('Apgar_VC',)",18680.0,2023-07-27 20:34:26,2023-07-28 02:36:16,361.8333333333333
'15271,"('Apgar_VC',)",8813.0,2023-07-27 20:18:12,2023-07-28 00:21:21,243.15
'15421,"('Apgar_VC',)",1335.0,2023-07-27 11:23:18,2023-07-27 11:45:33,22.25
'15461,"('Apgar_VC',)",8005.0,2023-07-27 10:29:14,2023-07-27 20:32:50,603.6
