Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('St_mary_VC_parking',)","[""'02081"", ""'02101"", ""'02331"", ""'02451"", ""'02551"", ""'03031"", ""'03161"", ""'05131"", ""'05331"", ""'05351"", ""'05451"", ""'05541"", ""'06021"", ""'06061"", ""'06351"", ""'07341"", ""'07461"", ""'10091"", ""'10231"", ""'10241"", ""'12011"", ""'12091"", ""'12151"", ""'12301"", ""'12501"", ""'12521"", ""'13331"", ""'13381"", ""'14151"", ""'14431"", ""'16441"", ""'18131"", ""'18151"", ""'20021"", ""'20241"", ""'22091"", ""'22221"", ""'22261"", ""'22271"", ""'22411"", ""'22461"", ""'22471"", ""'25231""]",43,"[1095.0, 345.0, 9720.0, 135.0, 40680.0, 1980.0, 5541.0, 225.0, 600.0, 420.0, 135.0, 405.0, 795.0, 188.0, 1590.0, 1335.0, 7065.0, 255.0, 12929.0, 255.0, 4125.0, 165.0, 17608.0, 31518.0, 15525.0, 14102.0, 39776.0, 18480.0, 23264.0, 23008.0, 38235.0, 1200.0, 735.0, 35596.0, 22935.0, 6480.0, 16500.0, 2153.0, 520.0, 35227.0, 14054.0, 2212.0, 10611.0]","['2023-07-05 14:09:42', '2023-07-05 23:16:17', '2023-07-05 19:50:29', '2023-07-05 12:02:38', '2023-07-05 14:52:09', '2023-07-06 11:43:11', '2023-07-06 13:33:15', '2023-07-10 09:18:20', '2023-07-06 09:38:30', '2023-07-06 09:35:43', '2023-07-05 12:02:38', '2023-07-10 10:54:51', '2023-07-11 13:45:01', '2023-07-11 12:40:21', '2023-07-11 13:16:29', '2023-07-12 17:15:13', '2023-07-12 19:52:48', '2023-07-16 09:59:24', '2023-07-19 06:10:34', '2023-07-16 09:59:26', '2023-07-21 16:06:54', '2023-07-21 09:07:04', '2023-07-21 09:48:51', '2023-07-21 16:16:58', '2023-07-21 13:39:57', '2023-07-21 08:08:19', '2023-07-24 13:43:46', '2023-07-24 12:29:53', '2023-07-27 02:40:33', '2023-07-27 03:18:17', '2023-07-30 18:46:43', '2023-08-01 08:03:59', '2023-08-01 08:11:45', '2023-08-02 14:56:03', '2023-08-02 20:17:47', '2023-08-06 08:02:25', '2023-08-06 08:00:47', '2023-08-06 07:46:41', '2023-08-06 08:25:20', '2023-08-06 08:26:22', '2023-08-06 08:21:50', '2023-08-06 07:45:43', '2023-08-08 16:11:43']","['2023-07-05 14:27:57', '2023-07-05 23:22:02', '2023-07-05 22:32:29', '2023-07-05 12:04:53', '2023-07-06 02:10:09', '2023-07-06 19:01:56', '2023-07-06 15:05:36', '2023-07-10 09:22:05', '2023-07-06 09:48:30', '2023-07-06 09:42:43', '2023-07-05 12:04:53', '2023-07-10 11:11:42', '2023-07-11 13:58:16', '2023-07-11 12:43:29', '2023-07-11 13:42:59', '2023-07-12 17:37:28', '2023-07-12 21:50:33', '2023-07-16 10:03:39', '2023-07-19 09:46:03', '2023-07-16 10:03:41', '2023-07-21 17:17:54', '2023-07-21 09:09:49', '2023-07-21 22:49:49', '2023-07-22 01:02:16', '2023-07-21 17:58:42', '2023-07-22 01:37:50', '2023-07-25 00:46:42', '2023-07-24 22:46:29', '2023-07-27 09:08:17', '2023-07-27 09:42:00', '2023-07-31 05:23:58', '2023-08-01 08:23:59', '2023-08-01 08:24:00', '2023-08-03 00:55:48', '2023-08-03 05:13:01', '2023-08-06 09:50:25', '2023-08-06 16:57:02', '2023-08-06 08:22:34', '2023-08-06 08:34:00', '2023-08-07 01:59:31', '2023-08-06 20:23:47', '2023-08-06 08:22:35', '2023-08-09 00:04:25']","[18.25, 5.75, 162.0, 2.25, 678.0, 438.75, 92.35, 3.75, 10.0, 7.0, 2.25, 16.85, 13.25, 3.1333333333333333, 26.5, 22.25, 117.75, 4.25, 215.48333333333332, 4.25, 71.0, 2.75, 780.9666666666667, 525.3, 258.75, 1049.5166666666667, 662.9333333333333, 616.6, 387.73333333333335, 383.71666666666664, 637.25, 20.0, 12.25, 599.75, 535.2333333333333, 108.0, 536.25, 35.88333333333333, 8.666666666666666, 1053.15, 721.95, 36.86666666666667, 472.7]"
"('St_mary_VC',)","[""'02321"", ""'07261"", ""'16411"", ""'19311"", ""'20431"", ""'22401""]",6,"[1629.0, 4575.0, 31515.0, 2325.0, 4679.0, 8067.0]","['2023-07-05 14:26:48', '2023-07-12 19:20:20', '2023-07-30 19:53:44', '2023-08-01 13:05:54', '2023-08-02 12:21:46', '2023-08-06 08:07:31']","['2023-07-05 14:54:27', '2023-07-12 20:36:35', '2023-07-31 04:38:59', '2023-08-01 13:53:24', '2023-08-02 13:44:45', '2023-08-06 21:17:42']","[27.65, 76.25, 525.25, 47.5, 82.98333333333333, 790.1833333333333]"
"('St_mary_VC_parking', 'St_mary_VC')","[""'02351"", ""'22531""]",2,"[376.0, 20044.0]","['2023-07-05 13:14:15', '2023-08-06 08:00:22']","['2023-07-05 13:26:16', '2023-08-06 21:18:39']","[12.016666666666667, 798.2833333333333]"
"('St_mary_VC', 'St_mary_VC_parking', 'St_mary_VC', 'St_mary_VC_parking')","[""'03191""]",1,[2190.0],['2023-07-06 12:07:51'],['2023-07-06 12:53:36'],[45.75]
"('St_mary_VC', 'St_mary_VC_parking')","[""'05341"", ""'12401""]",2,"[667.0, 5535.0]","['2023-07-10 13:28:03', '2023-07-22 01:23:07']","['2023-07-10 13:40:09', '2023-07-22 03:15:37']","[12.1, 112.5]"
"('St_mary_campground', 'St_mary_VC_parking')","[""'07231""]",1,[42555.0],['2023-07-12 20:41:19'],['2023-07-13 10:23:22'],[822.05]
"('St_mary_campground',)","[""'09191"", ""'17081"", ""'17391""]",3,"[44085.0, 32715.0, 54330.0]","['2023-07-16 14:02:29', '2023-07-31 19:03:15', '2023-07-31 18:33:38']","['2023-07-17 02:17:14', '2023-08-01 04:08:30', '2023-08-01 09:39:08']","[734.75, 545.25, 905.5]"
"('St_mary_VC_parking', 'St_mary_campground', 'St_mary_VC_parking')","[""'22021""]",1,[11304.0],['2023-08-06 08:18:43'],['2023-08-07 00:04:49'],[946.1]
"('St_mary_VC_parking', 'St_mary_campground', 'St_mary_VC', 'St_mary_VC_parking')","[""'22121""]",1,[26516.0],['2023-08-06 08:24:19'],['2023-08-07 01:44:28'],[1040.15]
