Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Logan_pass_parking', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Logan_pass_VC', 'Logan_pass_parking', 'Red_rock')","[""'02141""]",1,[10905.0],['2023-07-05 09:51:50'],['2023-07-05 13:51:20'],[239.5]
"('Moose_country', 'Logan_pass_VC', 'Logan_pass_parking', 'Jackson_glac_overlook', 'Sun_point_parking')","[""'02161""]",1,[6281.0],['2023-07-05 09:30:11'],['2023-07-05 12:16:17'],[166.1]
"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')","[""'02171"", ""'16161"", ""'17161""]",3,"[22439.0, 10560.0, 10560.0]","['2023-07-05 08:22:44', '2023-07-30 18:10:10', '2023-07-30 18:10:10']","['2023-07-05 15:19:14', '2023-07-30 21:11:10', '2023-07-30 21:11:10']","[416.5, 181.0, 181.0]"
"('Apgar_VC_parking', 'Apgar_VC', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Jackson_glac_overlook', 'Wild_goose_island', 'Many_glacier_trail', 'Sun_point_parking', 'Logan_pass_parking', 'Apgar_VC_parking', 'Apgar_village', 'Apgar_VC')","[""'02181""]",1,[33018.0],['2023-07-05 07:32:05'],['2023-07-06 00:32:08'],[1020.05]
"('Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Logan_pass_parking', 'Viriginia_falls_trail', 'StMary_falls_trail')","[""'02191""]",1,[18660.0],['2023-07-05 09:10:58'],['2023-07-05 16:21:43'],[430.75]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Big_bend', 'Logan_pass_parking', 'Lunch_creek', 'Jackson_glac_overlook', 'Sun_point_parking', 'Wild_goose_island')","[""'02201""]",1,[19995.0],['2023-07-05 08:13:14'],['2023-07-05 16:53:14'],[520.0]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Apgar_village', 'Apgar_campground')","[""'02211"", ""'05211""]",2,"[20580.0, 20580.0]","['2023-07-05 07:56:45', '2023-07-05 07:56:45']","['2023-07-05 14:09:45', '2023-07-05 14:09:45']","[373.0, 373.0]"
"('Avalanche_parking', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Avalanche_parking', 'Shuttle_Avalanche', 'Apgar_VC_parking', 'Apgar_VC')","[""'02221""]",1,[33097.0],['2023-07-05 07:58:54'],['2023-07-05 23:56:20'],[957.4333333333333]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_parking', 'Apgar_village')","[""'02231""]",1,[6375.0],['2023-07-05 07:45:43'],['2023-07-05 16:49:43'],[544.0]
"('Rising_sun_boat_dock', 'Baring_falls_trail', 'Rising_sun_boat_dock', 'Rising_sun', 'Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Many_glacier_trail')","[""'02241""]",1,[23220.0],['2023-07-05 09:55:39'],['2023-07-05 20:20:24'],[624.75]
"('Apgar_VC_parking', 'Apgar_village')","[""'02251""]",1,[15405.0],['2023-07-05 09:04:44'],['2023-07-05 13:23:14'],[258.5]
"('Apgar_VC_parking', 'Apgar_VC', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Loop', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge')","[""'02271""]",1,[30612.0],['2023-07-05 07:14:43'],['2023-07-05 17:29:51'],[615.1333333333333]
