Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('St_mary_falls_parking', 'Viriginia_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Jackson_glac_overlook')","[""'05511""]",1,[10364.0],['2023-07-10 10:47:08'],['2023-07-10 14:25:53'],[218.75]
"('Jackson_glac_overlook', 'Shuttle_Jackson_glac_overlook', 'Jackson_glac_overlook', 'Shuttle_Jackson_glac_overlook', 'Jackson_glac_overlook')","[""'05541""]",1,[2381.0],['2023-07-10 11:41:12'],['2023-07-10 14:31:21'],[170.15]
"('St_mary_falls_parking',)","[""'07091"", ""'16341""]",2,"[390.0, 330.0]","['2023-07-12 16:10:37', '2023-07-30 20:47:08']","['2023-07-12 16:17:07', '2023-07-30 20:52:38']","[6.5, 5.5]"
"('St_mary_falls_parking', 'StMary_falls_trail', 'St_mary_falls_parking')","[""'07261""]",1,[3511.0],['2023-07-12 17:40:50'],['2023-07-12 18:48:35'],[67.75]
"('Baring_falls_to_sun_point', 'Baring_falls_trail', 'Viriginia_falls_trail', 'Baring_falls_to_sun_point')","[""'07391""]",1,[4409.0],['2023-07-06 12:38:08'],['2023-07-06 15:37:07'],[178.98333333333332]
"('Baring_falls_to_sun_point',)","[""'07441"", ""'20411""]",2,"[930.0, 1170.0]","['2023-07-12 16:16:24', '2023-08-02 12:10:06']","['2023-07-12 16:31:54', '2023-08-02 12:29:51']","[15.5, 19.75]"
"('Baring_falls_to_sun_point', 'StMary_falls_trail')","[""'08231""]",1,[3600.0],['2023-07-14 15:15:38'],['2023-07-14 16:56:53'],[101.25]
"('St_mary_falls_parking', 'Viriginia_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Baring_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking')","[""'09071""]",1,[8640.0],['2023-07-16 08:39:32'],['2023-07-16 12:42:32'],[243.0]
"('Baring_falls_parking', 'Jackson_glac_overlook')","[""'09111"", ""'17461""]",2,"[1260.0, 705.0]","['2023-07-16 08:38:35', '2023-07-31 16:22:17']","['2023-07-16 10:50:50', '2023-07-31 17:04:02']","[132.25, 41.75]"
"('St_mary_falls_parking', 'Baring_falls_trail')","[""'09281""]",1,[1680.0],['2023-07-16 08:38:07'],['2023-07-16 10:58:07'],[140.0]
"('St_mary_falls_parking', 'StMary_falls_trail', 'St_mary_falls_parking', 'Jackson_glac_overlook')","[""'09381""]",1,[3571.0],['2023-07-16 08:02:58'],['2023-07-16 09:43:59'],[101.01666666666667]
"('Baring_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Shuttle_St_mary_falls')","[""'09401""]",1,[9869.0],['2023-07-16 11:16:01'],['2023-07-16 14:42:16'],[206.25]
"('Shuttle_St_mary_falls', 'StMary_falls_trail', 'Shuttle_St_mary_falls')","[""'12011""]",1,[6705.0],['2023-07-21 13:49:24'],['2023-07-21 15:42:09'],[112.75]
"('StMary_falls_trail', 'Shuttle_St_mary_falls')","[""'12401""]",1,[4861.0],['2023-07-21 09:47:14'],['2023-07-21 12:15:14'],[148.0]
"('Jackson_glac_overlook', 'Shuttle_St_mary_falls', 'StMary_falls_trail')","[""'12501""]",1,[1515.0],['2023-07-21 11:35:42'],['2023-07-21 13:14:27'],[98.75]
"('Jackson_glac_overlook', 'Gunsight_trailhead_stMary_falls', 'StMary_falls_trail', 'Shuttle_St_mary_falls')","[""'13331""]",1,[12195.0],['2023-07-24 09:45:01'],['2023-07-24 13:16:31'],[211.5]
"('Baring_falls_parking', 'Shuttle_St_mary_falls', 'Jackson_glac_overlook')","[""'14271""]",1,[735.0],['2023-07-26 16:53:44'],['2023-07-26 17:35:29'],[41.75]
"('Shuttle_St_mary_falls', 'StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls', 'Shuttle_Sunrift_gorge', 'Baring_falls_trail')","[""'15532""]",1,[7995.0],['2023-07-27 13:12:17'],['2023-07-27 16:19:02'],[186.75]
"('Shuttle_St_mary_falls',)","[""'16411"", ""'22471""]",2,"[195.0, 3285.0]","['2023-07-30 19:28:29', '2023-08-06 10:31:50']","['2023-07-30 19:31:44', '2023-08-06 11:36:20']","[3.25, 64.5]"
"('Baring_falls_trail', 'St_mary_falls_parking', 'StMary_falls_trail', 'St_mary_falls_parking')","[""'17121""]",1,[7986.0],['2023-07-31 17:58:25'],['2023-07-31 20:22:45'],[144.33333333333334]
"('StMary_falls_trail',)","[""'17271"", ""'19311""]",2,"[1050.0, 5280.0]","['2023-07-31 17:37:28', '2023-08-01 14:44:09']","['2023-07-31 17:54:58', '2023-08-01 16:12:09']","[17.5, 88.0]"
"('StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail')","[""'17391""]",1,[4725.0],['2023-07-31 16:09:38'],['2023-07-31 18:07:08'],[117.5]
"('Baring_falls_to_sun_point', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')","[""'22021""]",1,[3389.0],['2023-08-06 10:29:48'],['2023-08-06 12:58:15'],[148.45]
"('Baring_falls_to_sun_point', 'Baring_falls_trail', 'StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Baring_falls_to_sun_point')","[""'22121""]",1,[3120.0],['2023-08-06 10:17:38'],['2023-08-06 13:26:38'],[189.0]
"('Shuttle_Sunrift_gorge',)","[""'22261"", ""'22461""]",2,"[360.0, 315.0]","['2023-08-06 14:17:19', '2023-08-06 16:30:32']","['2023-08-06 14:23:19', '2023-08-06 16:35:47']","[6.0, 5.25]"
"('Jackson_glac_overlook', 'Shuttle_Jackson_glac_overlook', 'Jackson_glac_overlook')","[""'23171""]",1,[1410.0],['2023-08-06 13:53:15'],['2023-08-06 14:13:30'],[20.25]
