Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Avalanche_parking', 'Shuttle_Avalanche')","[""'01031"", ""'01061"", ""'01341"", ""'01501"", ""'02271"", ""'02291"", ""'04051"", ""'11331"", ""'11411"", ""'13381"", ""'15091"", ""'15161"", ""'15251"", ""'15321"", ""'15501"", ""'15532"", ""'17321"", ""'19011"", ""'19021"", ""'19041"", ""'19181"", ""'19241"", ""'19311"", ""'19331"", ""'19461"", ""'21141"", ""'21191"", ""'21231"", ""'21351"", ""'21381"", ""'23011"", ""'23071"", ""'23141"", ""'23291"", ""'23341"", ""'23441"", ""'23541"", ""'24231"", ""'24321"", ""'24441"", ""'24481"", ""'24541"", ""'25231""]",43,"[1020.0, 831.0, 1485.0, 2790.0, 1260.0, 1230.0, 1485.0, 7350.0, 3270.0, 1982.0, 7170.0, 1022.0, 4125.0, 3585.0, 4020.0, 975.0, 555.0, 1080.0, 1350.0, 12107.0, 435.0, 2155.0, 2026.0, 6121.0, 2490.0, 405.0, 3525.0, 1380.0, 691.0, 6090.0, 5985.0, 4800.0, 5835.0, 510.0, 3765.0, 3074.0, 2925.0, 4920.0, 4245.0, 1770.0, 10182.0, 1514.0, 811.0]","['2023-07-02 12:03:25', '2023-07-02 11:34:01', '2023-07-02 12:20:44', '2023-07-02 12:59:15', '2023-07-05 17:04:06', '2023-07-05 17:04:09', '2023-07-07 15:55:00', '2023-07-20 10:34:08', '2023-07-20 13:22:16', '2023-07-24 15:09:23', '2023-07-27 10:50:15', '2023-07-27 10:18:01', '2023-07-27 10:17:57', '2023-07-27 12:30:30', '2023-07-27 11:53:02', '2023-07-27 11:52:47', '2023-08-01 10:00:47', '2023-08-01 11:16:50', '2023-08-01 09:05:29', '2023-08-01 10:01:08', '2023-08-01 15:10:32', '2023-08-01 10:34:22', '2023-08-01 11:05:08', '2023-08-01 11:16:48', '2023-08-01 10:34:17', '2023-08-03 12:56:46', '2023-08-03 08:39:39', '2023-08-03 09:12:35', '2023-08-03 09:21:11', '2023-08-03 09:40:10', '2023-08-06 09:40:57', '2023-08-06 09:03:09', '2023-08-06 10:15:02', '2023-08-06 15:27:49', '2023-08-06 09:40:53', '2023-08-06 12:49:20', '2023-08-06 14:52:35', '2023-08-07 10:14:52', '2023-08-07 10:15:04', '2023-08-07 09:51:36', '2023-08-07 09:51:27', '2023-08-07 09:19:40', '2023-08-08 13:35:42']","['2023-07-02 16:21:41', '2023-07-02 18:30:55', '2023-07-02 17:02:44', '2023-07-02 17:02:30', '2023-07-05 17:15:51', '2023-07-05 17:15:39', '2023-07-07 16:08:00', '2023-07-20 16:29:23', '2023-07-20 17:52:31', '2023-07-24 16:40:14', '2023-07-27 16:22:15', '2023-07-27 10:27:17', '2023-07-27 16:10:13', '2023-07-27 13:01:30', '2023-07-27 17:14:17', '2023-07-27 18:17:32', '2023-08-01 10:06:17', '2023-08-01 11:26:35', '2023-08-01 13:57:44', '2023-08-01 19:33:54', '2023-08-01 15:15:47', '2023-08-01 13:15:26', '2023-08-01 18:00:27', '2023-08-01 18:02:17', '2023-08-01 10:58:47', '2023-08-03 13:01:01', '2023-08-03 15:51:24', '2023-08-03 13:41:57', '2023-08-03 13:04:57', '2023-08-03 14:40:22', '2023-08-06 14:51:12', '2023-08-06 14:51:09', '2023-08-06 16:10:32', '2023-08-06 15:33:04', '2023-08-06 16:30:08', '2023-08-06 13:17:35', '2023-08-06 15:18:05', '2023-08-07 10:57:07', '2023-08-07 10:51:34', '2023-08-07 16:47:36', '2023-08-07 17:24:48', '2023-08-07 16:49:19', '2023-08-08 13:51:58']","[258.26666666666665, 416.9, 282.0, 243.25, 11.75, 11.5, 13.0, 355.25, 270.25, 90.85, 332.0, 9.266666666666667, 352.26666666666665, 31.0, 321.25, 384.75, 5.5, 9.75, 292.25, 572.7666666666667, 5.25, 161.06666666666666, 415.31666666666666, 405.48333333333335, 24.5, 4.25, 431.75, 269.3666666666667, 223.76666666666668, 300.2, 310.25, 348.0, 355.5, 5.25, 409.25, 28.25, 25.5, 42.25, 36.5, 416.0, 453.35, 449.65, 16.266666666666666]"
"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars')","[""'01241"", ""'02231"", ""'02531"", ""'02551"", ""'05141"", ""'05401"", ""'12151"", ""'12161"", ""'15101"", ""'19521"", ""'23101"", ""'23171""]",12,"[4335.0, 3465.0, 7830.0, 2399.0, 2085.0, 3720.0, 6630.0, 4124.0, 9795.0, 4650.0, 7994.0, 8685.0]","['2023-07-02 12:20:08', '2023-07-05 07:45:43', '2023-07-05 08:15:22', '2023-07-05 09:27:54', '2023-07-10 12:15:41', '2023-07-10 08:50:55', '2023-07-21 11:19:51', '2023-07-21 12:55:50', '2023-07-27 10:50:09', '2023-08-01 11:05:05', '2023-08-06 09:54:18', '2023-08-06 10:15:00']","['2023-07-02 16:58:04', '2023-07-05 12:47:58', '2023-07-05 13:53:52', '2023-07-05 10:11:54', '2023-07-10 12:47:26', '2023-07-10 13:37:10', '2023-07-21 16:34:36', '2023-07-21 14:03:05', '2023-07-27 16:48:54', '2023-08-01 14:19:05', '2023-08-06 13:36:18', '2023-08-06 16:30:23']","[277.93333333333334, 302.25, 338.5, 44.0, 31.75, 286.25, 314.75, 67.25, 358.75, 194.0, 222.0, 375.3833333333333]"
"('Avalanche_parking', 'Avalanche_trail', 'Shuttle_Avalanche', 'Trail_of_Cedars')","[""'01371"", ""'01401"", ""'01511"", ""'02201"", ""'02211"", ""'02221"", ""'02421"", ""'02521"", ""'05211"", ""'06291"", ""'09341"", ""'09501"", ""'11111"", ""'11421"", ""'11531"", ""'12521"", ""'1321"", ""'15191"", ""'15261"", ""'15271"", ""'15411"", ""'15421"", ""'15441"", ""'15461"", ""'1551"", ""'21081"", ""'21341"", ""'21501"", ""'21521"", ""'23041"", ""'23201"", ""'24041"", ""'24171"", ""'24341"", ""'25241"", ""'25421""]",36,"[14925.0, 13003.0, 4275.0, 16560.0, 17490.0, 15210.0, 16485.0, 15106.0, 17490.0, 12121.0, 11701.0, 9721.0, 20550.0, 15360.0, 10485.0, 15827.0, 2760.0, 9271.0, 13875.0, 17625.0, 18181.0, 8490.0, 10845.0, 10424.0, 16147.0, 9044.0, 11325.0, 10170.0, 20834.0, 21194.0, 8429.0, 9360.0, 13709.0, 14250.0, 13515.0, 18255.0]","['2023-07-02 12:20:59', '2023-07-02 13:44:18', '2023-07-02 12:19:38', '2023-07-05 08:13:14', '2023-07-05 07:56:45', '2023-07-05 07:58:54', '2023-07-05 10:08:19', '2023-07-05 09:33:01', '2023-07-05 07:56:45', '2023-07-11 11:48:51', '2023-07-16 10:03:33', '2023-07-16 11:01:17', '2023-07-20 11:45:21', '2023-07-20 10:34:17', '2023-07-20 10:34:11', '2023-07-21 09:43:34', '2023-07-02 12:03:12', '2023-07-27 11:52:49', '2023-07-27 10:50:17', '2023-07-27 12:30:22', '2023-07-27 12:17:40', '2023-07-27 12:30:18', '2023-07-27 12:21:35', '2023-07-27 11:49:21', '2023-07-27 11:53:06', '2023-08-03 10:05:34', '2023-08-03 09:12:25', '2023-08-03 10:08:10', '2023-08-03 10:46:44', '2023-08-06 09:09:12', '2023-08-06 09:08:50', '2023-08-07 08:53:12', '2023-08-07 09:42:54', '2023-08-07 10:40:33', '2023-08-08 13:07:51', '2023-08-08 11:38:47']","['2023-07-02 16:29:28', '2023-07-02 16:58:18', '2023-07-02 15:39:38', '2023-07-05 13:00:29', '2023-07-05 12:46:30', '2023-07-05 16:36:38', '2023-07-05 14:46:04', '2023-07-05 13:41:46', '2023-07-05 12:46:30', '2023-07-11 15:15:21', '2023-07-16 13:09:48', '2023-07-16 14:12:26', '2023-07-20 16:28:21', '2023-07-20 14:27:17', '2023-07-20 13:30:56', '2023-07-21 15:23:49', '2023-07-02 12:45:57', '2023-07-27 18:02:04', '2023-07-27 14:36:02', '2023-07-27 17:14:22', '2023-07-27 16:48:55', '2023-07-27 14:54:03', '2023-07-27 16:48:51', '2023-07-27 14:36:06', '2023-07-27 15:42:27', '2023-08-03 12:41:49', '2023-08-03 12:20:25', '2023-08-03 12:43:40', '2023-08-03 15:52:36', '2023-08-06 14:51:12', '2023-08-06 15:43:50', '2023-08-07 11:40:12', '2023-08-07 13:20:09', '2023-08-07 14:46:03', '2023-08-08 16:56:51', '2023-08-08 16:42:31']","[248.48333333333332, 194.0, 200.0, 287.25, 289.75, 517.7333333333333, 277.75, 248.75, 289.75, 206.5, 186.25, 191.15, 283.0, 233.0, 176.75, 340.25, 42.75, 369.25, 225.75, 284.0, 271.25, 143.75, 267.26666666666665, 166.75, 229.35, 156.25, 188.0, 155.5, 305.8666666666667, 342.0, 395.0, 167.0, 217.25, 245.5, 229.0, 303.73333333333335]"
"('Avalanche_trail', 'Trail_of_Cedars')","[""'02061"", ""'02281""]",2,"[14745.0, 17325.0]","['2023-07-05 09:14:40', '2023-07-05 07:53:02']","['2023-07-05 13:29:10', '2023-07-05 12:46:47']","[254.5, 293.75]"
"('Avalanche_parking', 'Avalanche_trail', 'Trail_of_Cedars')","[""'02171"", ""'02541"", ""'05041"", ""'06271"", ""'06301"", ""'16161"", ""'17141"", ""'17161""]",8,"[22439.0, 15270.0, 9150.0, 10574.0, 14077.0, 10560.0, 9810.0, 10560.0]","['2023-07-05 08:22:44', '2023-07-05 08:11:34', '2023-07-10 07:57:06', '2023-07-11 10:56:41', '2023-07-10 07:44:32', '2023-07-30 18:10:10', '2023-07-31 18:04:47', '2023-07-30 18:10:10']","['2023-07-05 15:19:14', '2023-07-05 12:38:34', '2023-07-10 10:49:21', '2023-07-11 14:22:40', '2023-07-10 11:42:25', '2023-07-30 21:11:10', '2023-07-31 20:52:17', '2023-07-30 21:11:10']","[416.5, 267.0, 172.25, 205.98333333333332, 237.88333333333333, 181.0, 167.5, 181.0]"
"('Trail_of_Cedars',)","[""'02441"", ""'05091"", ""'06041"", ""'06061"", ""'09471""]",5,"[13455.0, 1529.0, 3195.0, 251.0, 120.0]","['2023-07-05 09:17:09', '2023-07-10 09:05:40', '2023-07-11 11:39:04', '2023-07-11 10:48:26', '2023-07-16 11:38:50']","['2023-07-05 13:01:24', '2023-07-10 11:32:10', '2023-07-11 16:29:04', '2023-07-11 10:52:37', '2023-07-16 11:40:50']","[224.25, 146.5, 290.0, 4.183333333333334, 2.0]"
"('Avalanche_parking',)","[""'02461"", ""'05131"", ""'05291"", ""'06111"", ""'06181"", ""'06421"", ""'06441"", ""'06451"", ""'06481"", ""'06511"", ""'09151"", ""'09291"", ""'09421"", ""'14411"", ""'16091"", ""'16221"", ""'16351"", ""'17431"", ""'20291"", ""'25431""]",20,"[4110.0, 120.0, 465.0, 135.0, 210.0, 375.0, 7980.0, 2775.0, 15601.0, 1530.0, 2655.0, 1876.0, 5784.0, 795.0, 360.0, 3120.0, 345.0, 11671.0, 2655.0, 225.0]","['2023-07-05 14:18:52', '2023-07-10 07:58:20', '2023-07-10 16:29:18', '2023-07-11 12:30:47', '2023-07-11 12:57:49', '2023-07-11 12:12:47', '2023-07-11 13:10:29', '2023-07-11 11:51:42', '2023-07-11 11:57:19', '2023-07-12 18:44:44', '2023-07-16 10:33:50', '2023-07-16 09:35:14', '2023-07-16 10:41:40', '2023-07-26 19:23:31', '2023-07-30 16:46:35', '2023-07-30 18:39:15', '2023-07-31 11:34:22', '2023-08-01 06:57:03', '2023-08-02 16:30:31', '2023-08-08 13:32:19']","['2023-07-05 15:27:22', '2023-07-10 08:00:20', '2023-07-10 16:37:03', '2023-07-11 12:33:02', '2023-07-11 13:01:19', '2023-07-11 12:19:02', '2023-07-11 16:58:44', '2023-07-11 12:44:27', '2023-07-11 16:38:34', '2023-07-12 20:04:29', '2023-07-16 11:19:20', '2023-07-16 10:12:14', '2023-07-16 12:18:04', '2023-07-26 20:19:01', '2023-07-30 16:52:35', '2023-07-30 19:31:15', '2023-07-31 11:40:07', '2023-08-01 10:25:33', '2023-08-02 17:14:46', '2023-08-08 13:36:04']","[68.5, 2.0, 7.75, 2.25, 3.5, 6.25, 228.25, 52.75, 281.25, 79.75, 45.5, 37.0, 96.4, 55.5, 6.0, 52.0, 5.75, 208.5, 44.25, 3.75]"
"('Avalanche_parking', 'Trail_of_Cedars')","[""'05311"", ""'05341""]",2,"[2475.0, 2483.0]","['2023-07-10 07:53:46', '2023-07-10 15:04:39']","['2023-07-10 12:02:46', '2023-07-10 15:48:47']","[249.0, 44.13333333333333]"
