Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Avalanche', 'LakeMcDonald', 'SunPoint')","[""'09471"", ""'14411""]",2,"[510.0, 3090.0]","['2023-07-16 09:41:50', '2023-07-26 15:45:46']","['2023-07-16 11:54:50', '2023-07-26 20:36:46']","[133.0, 291.0]"
"('Apgar', 'Avalanche', 'Loop')","[""'09501""]",1,[11521.0],['2023-07-16 10:06:47'],['2023-07-16 15:25:56'],[319.15]
"('RisingSun', 'StMary')","[""'10091"", ""'10241"", ""'20021"", ""'22411""]",4,"[750.0, 750.0, 48631.0, 60539.0]","['2023-07-16 09:41:39', '2023-07-16 09:41:41', '2023-08-02 11:07:48', '2023-08-06 08:26:22']","['2023-07-16 10:03:39', '2023-07-16 10:03:41', '2023-08-03 00:55:48', '2023-08-07 01:59:31']","[22.0, 22.0, 828.0, 1053.15]"
"('Apgar', 'Avalanche', 'LakeMcDonald', 'Logan')","[""'11411"", ""'15251"", ""'19021"", ""'19181"", ""'19241"", ""'19331"", ""'21141"", ""'21231"", ""'21351"", ""'21381"", ""'23011"", ""'24321""]",12,"[29406.0, 36597.0, 37966.0, 14399.0, 17145.0, 34296.0, 38564.0, 24159.0, 40636.0, 16936.0, 30165.0, 34813.0]","['2023-07-20 10:56:22', '2023-07-27 10:00:12', '2023-08-01 08:48:59', '2023-08-01 08:06:02', '2023-08-01 10:34:22', '2023-08-01 10:56:33', '2023-08-03 08:12:16', '2023-08-03 08:59:05', '2023-08-03 09:21:11', '2023-08-03 09:24:40', '2023-08-06 09:40:57', '2023-08-07 10:00:04']","['2023-07-21 03:19:18', '2023-07-28 02:36:16', '2023-08-01 21:50:29', '2023-08-01 18:38:17', '2023-08-01 17:19:33', '2023-08-02 02:15:59', '2023-08-03 23:42:21', '2023-08-03 23:54:42', '2023-08-04 02:28:53', '2023-08-03 23:53:55', '2023-08-06 19:26:18', '2023-08-07 22:48:18']","[982.9333333333333, 996.0666666666667, 781.5, 632.25, 405.18333333333334, 919.4333333333333, 930.0833333333334, 895.6166666666667, 1027.7, 869.25, 585.35, 768.2333333333333]"
"('Logan', 'StMary', 'Waterfalls')","[""'12011"", ""'12501"", ""'14431"", ""'17081""]",4,"[24181.0, 24615.0, 33057.0, 39090.0]","['2023-07-21 09:27:09', '2023-07-21 09:02:42', '2023-07-26 16:29:37', '2023-07-31 16:27:00']","['2023-07-21 17:17:54', '2023-07-21 17:58:42', '2023-07-27 09:42:00', '2023-08-01 04:08:30']","[470.75, 536.0, 1032.3833333333334, 701.5]"
"('Avalanche', 'Logan', 'RisingSun', 'StMary')","[""'12151"", ""'25231""]",2,"[25093.0, 12578.0]","['2023-07-21 09:48:51', '2023-08-08 13:35:42']","['2023-07-21 22:49:49', '2023-08-09 00:04:25']","[780.9666666666667, 628.7166666666667]"
"('Avalanche', 'Logan', 'RisingSun')","[""'12161""]",1,[7785.0],['2023-07-21 10:39:05'],['2023-07-21 14:52:20'],[253.25]
"('Logan', 'RisingSun', 'StMary')","[""'12301"", ""'18151""]",2,"[44854.0, 49740.0]","['2023-07-21 11:06:43', '2023-08-01 08:11:45']","['2023-07-22 01:02:16', '2023-08-01 23:54:45']","[835.55, 943.0]"
"('Avalanche', 'LakeMcDonald', 'Logan', 'RisingSun', 'StMary')","[""'12521""]",1,[37204.0],['2023-07-21 08:08:19'],['2023-07-22 01:37:50'],[1049.5166666666667]
"('Logan', 'Loop', 'RisingSun', 'SunPoint')","[""'13231""]",1,[31216.0],['2023-07-24 10:03:27'],['2023-07-24 19:49:27'],[586.0]
"('StMary', 'SunPoint', 'Waterfalls')","[""'13331""]",1,[52121.0],['2023-07-24 09:45:01'],['2023-07-25 00:46:42'],[901.6833333333333]
"('Avalanche', 'LakeMcDonald', 'Logan', 'StMary')","[""'13381""]",1,[32845.0],['2023-07-24 09:13:23'],['2023-07-24 22:46:29'],[813.1]
"('LakeMcDonald', 'RisingSun', 'StMary')","[""'14151""]",1,[24704.0],['2023-07-26 15:54:20'],['2023-07-27 09:08:17'],[1033.95]
"('LakeMcDonald', 'Logan', 'Loop', 'Waterfalls')","[""'14181""]",1,[52380.0],['2023-07-26 18:18:00'],['2023-07-27 11:46:54'],[1048.9]
"('Loop',)","[""'14441""]",1,[150.0],['2023-07-26 18:28:22'],['2023-07-26 18:30:52'],[2.5]
"('Avalanche', 'LakeMcDonald')","[""'15191"", ""'15261"", ""'15411"", ""'1551"", ""'21081"", ""'21521"", ""'23101"", ""'24341"", ""'25241"", ""'25421""]",10,"[18045.0, 14655.0, 18932.0, 16687.0, 9959.0, 21044.0, 8729.0, 20296.0, 14550.0, 18810.0]","['2023-07-27 11:37:04', '2023-07-27 10:34:02', '2023-07-27 12:00:25', '2023-07-27 11:36:51', '2023-08-03 09:49:34', '2023-08-03 10:46:44', '2023-08-06 09:36:37', '2023-08-07 10:24:48', '2023-08-08 13:07:51', '2023-08-08 11:16:47']","['2023-07-27 18:17:34', '2023-07-27 14:49:47', '2023-07-27 17:03:25', '2023-07-27 15:55:57', '2023-08-03 12:59:15', '2023-08-03 16:05:21', '2023-08-06 13:48:33', '2023-08-07 16:30:04', '2023-08-08 17:42:21', '2023-08-08 16:42:31']","[400.5, 255.75, 303.0, 259.1, 189.68333333333334, 318.6166666666667, 251.93333333333334, 365.26666666666665, 274.5, 325.73333333333335]"
"('Apgar', 'Avalanche', 'LakeMcDonald', 'Logan', 'Waterfalls')","[""'15532"", ""'19011"", ""'23071"", ""'23201""]",4,"[13110.0, 16232.0, 15045.0, 35497.0]","['2023-07-27 11:36:47', '2023-08-01 09:33:35', '2023-08-06 08:49:09', '2023-08-06 08:57:20']","['2023-07-28 02:23:32', '2023-08-01 17:02:05', '2023-08-06 16:55:36', '2023-08-07 00:36:10']","[886.75, 448.5, 486.45, 938.8333333333334]"
"('Logan', 'Loop', 'StMary', 'Waterfalls')","[""'16411""]",1,[33226.0],['2023-07-30 17:57:28'],['2023-07-31 04:38:59'],[641.5166666666667]
"('Loop', 'Waterfalls')","[""'17381""]",1,[570.0],['2023-07-31 16:16:43'],['2023-07-31 17:24:43'],[68.0]
"('Avalanche', 'RisingSun')","[""'17431""]",1,[20480.0],['2023-07-31 16:33:14'],['2023-08-01 10:25:33'],[1072.3166666666666]
"('Apgar', 'Loop', 'Waterfalls')","[""'17461""]",1,[17431.0],['2023-07-31 16:22:17'],['2023-08-01 00:13:17'],[471.0]
"('LakeMcDonald', 'Logan', 'RisingSun', 'StMary')","[""'18131""]",1,[19470.0],['2023-08-01 08:03:59'],['2023-08-01 15:21:44'],[437.75]
"('Avalanche', 'LakeMcDonald', 'Logan', 'RisingSun', 'StMary', 'SunPoint', 'Waterfalls')","[""'19311""]",1,[13820.0],['2023-08-01 11:05:08'],['2023-08-01 18:17:27'],[432.31666666666666]
"('Apgar', 'LakeMcDonald', 'Logan', 'Waterfalls')","[""'20041""]",1,[26712.0],['2023-08-02 11:43:36'],['2023-08-02 23:58:17'],[734.6833333333333]
"('LakeMcDonald', 'Loop', 'SunPoint')","[""'20161""]",1,[12675.0],['2023-08-02 12:45:35'],['2023-08-02 17:50:20'],[304.75]
"('Apgar', 'Avalanche', 'LakeMcDonald', 'Logan', 'SunPoint')","[""'20291""]",1,[34024.0],['2023-08-02 10:43:31'],['2023-08-03 01:54:20'],[910.8166666666667]
"('Logan', 'StMary', 'SunPoint')","[""'22221""]",1,[19620.0],['2023-08-06 08:00:47'],['2023-08-06 16:57:02'],[536.25]
"('Logan', 'StMary', 'SunPoint', 'Waterfalls')","[""'22471""]",1,[9292.0],['2023-08-06 07:45:43'],['2023-08-06 12:07:50'],[262.1166666666667]
"('RisingSun', 'StMary', 'Waterfalls')","[""'22531""]",1,[30049.0],['2023-08-06 08:00:22'],['2023-08-06 21:18:39'],[798.2833333333333]
"('Apgar', 'LakeMcDonald', 'Logan', 'RisingSun', 'SunPoint')","[""'25201""]",1,[9660.0],['2023-08-08 10:35:59'],['2023-08-08 16:51:54'],[375.9166666666667]
"('Apgar', 'LakeMcDonald', 'Loop')","[""'25321""]",1,[5253.0],['2023-08-08 10:50:21'],['2023-08-08 14:45:54'],[235.55]
