id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12
'02221,Avalanche_parking,2023-07-05 07:58:54,2023-07-05 08:05:24,390.0,Avalanche_trail,2023-07-05 08:26:09,2023-07-05 11:33:09,11220.0,Trail_of_Cedars,2023-07-05 11:34:09,2023-07-05 11:47:24,795.0,Avalanche_parking,2023-07-05 11:49:24,2023-07-05 12:10:54,1290.0,Shuttle_Avalanche,2023-07-05 11:51:09,2023-07-05 12:09:54,1125.0,Avalanche_parking,2023-07-05 16:32:08,2023-07-05 16:36:38,270.0,Shuttle_Avalanche,2023-07-05 16:32:38,2023-07-05 16:34:38,120.0,,,,,,,,,,,,,,,,,,,,
'02231,Avalanche_parking,2023-07-05 07:45:43,2023-07-05 08:07:13,1230.0,Shuttle_Avalanche,2023-07-05 07:55:28,2023-07-05 08:06:43,675.0,Trail_of_Cedars,2023-07-05 08:08:28,2023-07-05 12:39:58,1260.0,Avalanche_parking,2023-07-05 12:42:58,2023-07-05 12:47:58,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02271,Avalanche_parking,2023-07-05 17:04:06,2023-07-05 17:15:51,705.0,Shuttle_Avalanche,2023-07-05 17:04:21,2023-07-05 17:13:36,555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02281,Trail_of_Cedars,2023-07-05 07:53:02,2023-07-05 08:09:47,1005.0,Avalanche_trail,2023-07-05 08:10:17,2023-07-05 12:10:02,14385.0,Trail_of_Cedars,2023-07-05 12:10:32,2023-07-05 12:46:47,1935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02291,Avalanche_parking,2023-07-05 17:04:09,2023-07-05 17:15:39,690.0,Shuttle_Avalanche,2023-07-05 17:04:39,2023-07-05 17:13:39,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02421,Avalanche_parking,2023-07-05 10:08:19,2023-07-05 10:11:04,165.0,Trail_of_Cedars,2023-07-05 10:12:49,2023-07-05 10:31:49,1140.0,Avalanche_trail,2023-07-05 10:32:04,2023-07-05 14:20:49,13725.0,Trail_of_Cedars,2023-07-05 14:21:49,2023-07-05 14:33:49,720.0,Avalanche_parking,2023-07-05 14:37:49,2023-07-05 14:46:04,495.0,Shuttle_Avalanche,2023-07-05 14:38:04,2023-07-05 14:42:04,240.0,,,,,,,,,,,,,,,,,,,,,,,,
'02441,Trail_of_Cedars,2023-07-05 09:17:09,2023-07-05 13:01:24,13455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02461,Avalanche_parking,2023-07-05 14:18:52,2023-07-05 15:27:22,4110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02521,Avalanche_parking,2023-07-05 09:33:01,2023-07-05 09:36:46,225.0,Shuttle_Avalanche,2023-07-05 09:33:01,2023-07-05 09:36:01,180.0,Trail_of_Cedars,2023-07-05 09:39:46,2023-07-05 09:49:46,600.0,Avalanche_trail,2023-07-05 09:50:15,2023-07-05 13:19:16,12541.0,Trail_of_Cedars,2023-07-05 13:19:46,2023-07-05 13:32:46,780.0,Avalanche_parking,2023-07-05 13:34:01,2023-07-05 13:41:46,465.0,Shuttle_Avalanche,2023-07-05 13:34:46,2023-07-05 13:40:01,315.0,,,,,,,,,,,,,,,,,,,,
'02531,Avalanche_parking,2023-07-05 08:15:22,2023-07-05 08:48:07,1965.0,Trail_of_Cedars,2023-07-05 08:48:52,2023-07-05 09:27:57,2345.0,Avalanche_parking,2023-07-05 09:30:51,2023-07-05 13:21:22,969.0,Shuttle_Avalanche,2023-07-05 13:15:07,2023-07-05 13:21:22,375.0,Avalanche_parking,2023-07-05 13:21:52,2023-07-05 13:26:07,255.0,Shuttle_Avalanche,2023-07-05 13:22:51,2023-07-05 13:25:07,136.0,Avalanche_parking,2023-07-05 13:27:07,2023-07-05 13:53:52,1080.0,Shuttle_Avalanche,2023-07-05 13:41:22,2023-07-05 13:53:52,705.0,,,,,,,,,,,,,,,,
'02541,Avalanche_parking,2023-07-05 08:11:34,2023-07-05 08:13:49,135.0,Avalanche_trail,2023-07-05 08:25:19,2023-07-05 12:19:19,14040.0,Trail_of_Cedars,2023-07-05 12:20:19,2023-07-05 12:38:34,1095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02551,Avalanche_parking,2023-07-05 09:27:54,2023-07-05 09:31:39,225.0,Shuttle_Avalanche,2023-07-05 09:27:54,2023-07-05 09:30:39,165.0,Trail_of_Cedars,2023-07-05 09:36:24,2023-07-05 10:06:24,1754.0,Avalanche_parking,2023-07-05 10:07:39,2023-07-05 10:11:54,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'04051,Avalanche_parking,2023-07-07 15:55:00,2023-07-07 16:08:00,780.0,Shuttle_Avalanche,2023-07-07 15:55:00,2023-07-07 16:06:45,705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05041,Avalanche_parking,2023-07-10 07:57:06,2023-07-10 08:04:51,465.0,Avalanche_trail,2023-07-10 08:20:36,2023-07-10 10:31:51,7875.0,Trail_of_Cedars,2023-07-10 10:33:21,2023-07-10 10:42:06,525.0,Avalanche_parking,2023-07-10 10:44:36,2023-07-10 10:49:21,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05091,Trail_of_Cedars,2023-07-10 09:05:40,2023-07-10 11:32:10,1529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05131,Avalanche_parking,2023-07-10 07:58:20,2023-07-10 08:00:20,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05141,Trail_of_Cedars,2023-07-10 12:15:41,2023-07-10 12:40:11,1470.0,Avalanche_parking,2023-07-10 12:41:26,2023-07-10 12:47:26,360.0,Shuttle_Avalanche,2023-07-10 12:42:11,2023-07-10 12:46:26,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05211,Avalanche_parking,2023-07-05 07:56:45,2023-07-05 08:07:15,630.0,Shuttle_Avalanche,2023-07-05 07:57:45,2023-07-05 08:06:45,540.0,Trail_of_Cedars,2023-07-05 08:09:00,2023-07-05 08:15:30,390.0,Avalanche_trail,2023-07-05 08:16:00,2023-07-05 12:25:30,14970.0,Trail_of_Cedars,2023-07-05 12:26:00,2023-07-05 12:40:00,840.0,Avalanche_parking,2023-07-05 12:44:30,2023-07-05 12:46:30,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'05291,Avalanche_parking,2023-07-10 16:29:18,2023-07-10 16:37:03,465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05311,Avalanche_parking,2023-07-10 07:53:46,2023-07-10 08:05:16,510.0,Trail_of_Cedars,2023-07-10 08:06:46,2023-07-10 12:02:46,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05341,Trail_of_Cedars,2023-07-10 15:04:39,2023-07-10 15:07:09,150.0,Avalanche_parking,2023-07-10 15:07:54,2023-07-10 15:22:47,893.0,Trail_of_Cedars,2023-07-10 15:24:47,2023-07-10 15:48:47,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05401,Avalanche_parking,2023-07-10 08:50:55,2023-07-10 09:11:10,1020.0,Trail_of_Cedars,2023-07-10 09:14:25,2023-07-10 13:28:55,2235.0,Avalanche_parking,2023-07-10 13:32:25,2023-07-10 13:37:10,285.0,Shuttle_Avalanche,2023-07-10 13:34:10,2023-07-10 13:37:10,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06041,Trail_of_Cedars,2023-07-11 11:39:04,2023-07-11 16:29:04,3195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06061,Trail_of_Cedars,2023-07-11 10:48:26,2023-07-11 10:52:37,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06111,Avalanche_parking,2023-07-11 12:30:47,2023-07-11 12:33:02,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06181,Avalanche_parking,2023-07-11 12:57:49,2023-07-11 13:01:19,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06271,Avalanche_parking,2023-07-11 10:56:41,2023-07-11 11:07:26,615.0,Avalanche_trail,2023-07-11 11:27:56,2023-07-11 13:51:40,8624.0,Trail_of_Cedars,2023-07-11 13:52:25,2023-07-11 14:01:10,525.0,Avalanche_parking,2023-07-11 14:04:10,2023-07-11 14:22:40,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06291,Avalanche_parking,2023-07-11 11:48:51,2023-07-11 12:09:06,915.0,Shuttle_Avalanche,2023-07-11 12:03:35,2023-07-11 12:08:21,286.0,Trail_of_Cedars,2023-07-11 12:12:06,2023-07-11 12:24:51,765.0,Avalanche_trail,2023-07-11 12:25:21,2023-07-11 14:53:06,8865.0,Trail_of_Cedars,2023-07-11 14:53:36,2023-07-11 15:03:21,585.0,Avalanche_parking,2023-07-11 15:03:36,2023-07-11 15:15:21,705.0,,,,,,,,,,,,,,,,,,,,,,,,
'06301,Trail_of_Cedars,2023-07-10 07:44:32,2023-07-10 08:27:17,2505.0,Avalanche_trail,2023-07-10 08:27:32,2023-07-10 11:18:31,10259.0,Trail_of_Cedars,2023-07-10 11:19:32,2023-07-10 11:38:40,1148.0,Avalanche_parking,2023-07-10 11:39:40,2023-07-10 11:42:25,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06421,Avalanche_parking,2023-07-11 12:12:47,2023-07-11 12:19:02,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06441,Avalanche_parking,2023-07-11 13:10:29,2023-07-11 16:58:44,7980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
