id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7
'03411,Rising_sun_boat_dock,2023-07-06 15:14:16,2023-07-06 15:17:16,180.0,Shuttle_Rising_Sun,2023-07-06 15:14:31,2023-07-06 15:16:46,135.0,,,,,,,,,,,,,,,,,,,,
'03471,Rising_sun_boat_dock,2023-07-06 13:12:22,2023-07-06 13:15:07,165.0,,,,,,,,,,,,,,,,,,,,,,,,
'03551,Rising_sun_boat_dock,2023-07-06 11:28:16,2023-07-06 11:31:01,165.0,,,,,,,,,,,,,,,,,,,,,,,,
'05261,Rising_sun_boat_dock,2023-07-10 14:51:59,2023-07-10 15:23:59,1920.0,,,,,,,,,,,,,,,,,,,,,,,,
'05451,Rising_sun_picnic_area,2023-07-05 10:26:22,2023-07-05 11:41:08,4276.0,,,,,,,,,,,,,,,,,,,,,,,,
'06381,Rising_sun,2023-07-11 13:36:14,2023-07-11 15:01:59,5145.0,,,,,,,,,,,,,,,,,,,,,,,,
'06441,Rising_sun,2023-07-11 18:59:29,2023-07-11 20:27:29,5280.0,,,,,,,,,,,,,,,,,,,,,,,,
'07131,Rising_sun,2023-07-12 15:17:29,2023-07-12 15:19:29,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'08231,Rising_sun_boat_dock,2023-07-14 14:55:38,2023-07-14 17:49:05,255.0,,,,,,,,,,,,,,,,,,,,,,,,
'09041,Rising_sun_boat_dock,2023-07-16 09:22:32,2023-07-16 11:44:32,8520.0,,,,,,,,,,,,,,,,,,,,,,,,
'09281,Rising_sun_boat_dock,2023-07-16 08:03:37,2023-07-16 11:49:37,3510.0,,,,,,,,,,,,,,,,,,,,,,,,
'09331,Rising_sun_boat_dock,2023-07-16 08:11:06,2023-07-16 08:53:36,2550.0,,,,,,,,,,,,,,,,,,,,,,,,
'10091,Rising_sun,2023-07-16 09:41:39,2023-07-16 09:49:54,495.0,,,,,,,,,,,,,,,,,,,,,,,,
'10241,Rising_sun,2023-07-16 09:41:41,2023-07-16 09:49:56,495.0,,,,,,,,,,,,,,,,,,,,,,,,
'12151,Rising_sun_boat_dock,2023-07-21 10:02:36,2023-07-21 10:04:51,135.0,,,,,,,,,,,,,,,,,,,,,,,,
'12161,Rising_sun_boat_dock,2023-07-21 10:39:05,2023-07-21 10:41:05,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'12301,Rising_sun_boat_dock,2023-07-21 11:06:43,2023-07-21 11:08:43,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'12401,Rising_sun_boat_dock,2023-07-21 09:27:59,2023-07-21 12:31:44,285.0,,,,,,,,,,,,,,,,,,,,,,,,
'12521,Rising_sun_boat_dock,2023-07-21 16:39:34,2023-07-21 16:42:04,150.0,,,,,,,,,,,,,,,,,,,,,,,,
'13041,Rising_sun_boat_dock,2023-07-24 11:14:03,2023-07-24 11:17:03,180.0,,,,,,,,,,,,,,,,,,,,,,,,
'13231,Rising_sun_boat_dock,2023-07-24 10:03:27,2023-07-24 10:05:57,150.0,,,,,,,,,,,,,,,,,,,,,,,,
'13241,Rising_sun_boat_dock,2023-07-24 11:14:02,2023-07-24 11:17:02,180.0,,,,,,,,,,,,,,,,,,,,,,,,
'13511,Rising_sun_boat_dock,2023-07-24 14:23:26,2023-07-24 14:25:26,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'14151,Rising_sun,2023-07-26 15:54:20,2023-07-26 16:08:05,825.0,,,,,,,,,,,,,,,,,,,,,,,,
'14321,Rising_sun_picnic_area,2023-07-26 17:48:34,2023-07-26 20:34:34,9435.0,,,,,,,,,,,,,,,,,,,,,,,,
'17121,Rising_sun,2023-08-01 07:38:26,2023-08-01 07:41:11,165.0,,,,,,,,,,,,,,,,,,,,,,,,
'17131,Rising_sun,2023-07-31 17:40:03,2023-08-01 07:41:18,7995.0,,,,,,,,,,,,,,,,,,,,,,,,
'17231,Rising_sun,2023-07-31 17:23:07,2023-07-31 18:20:52,3420.0,,,,,,,,,,,,,,,,,,,,,,,,
'17431,Rising_sun,2023-07-31 16:33:14,2023-07-31 19:59:33,8809.0,,,,,,,,,,,,,,,,,,,,,,,,
'17441,Rising_sun_boat_dock,2023-07-31 16:32:47,2023-07-31 18:35:02,1350.0,Rising_sun,2023-07-31 18:36:17,2023-07-31 18:40:17,240.0,,,,,,,,,,,,,,,,,,,,
